"Constituency name, electorate, 2001 result",Turnout,Candidate (* = incumbent MP),Party,Votes,Percent share,* = lost deposit,Change 2001-05,
Birmingham Hodge Hill [58],52.7,"Byrne, L.D.*",Lab,13'822,48.6,,-,15.2
53'896, ,"Davies, N.S. Ms.",LD,8'373,29.5,,+,21.4
, ,"Thomas, D.H. Ms.",Con,3'768,13.3,,-,6.7
, ,"Adams, D.H.",BNP,1'445,5.1,,+,1.7
, ,"Duffen, A.D.",UKIP,680,2.4,*,+,1.4
, ,"Begg, A.",PAP,329,1.2,*,, 
, , , ,-----,---,, , 
,, , ,5'449,19.2,, , 
2001: Lab,, , , , , , , 
Birmingham Ladywood [59],46.8,"Short, C. Ms.*",Lab,17'262,51.9,,-,17
70'973, ,"Khan, A.",LD,10'461,31.5,,+,23.3
, ,"Stroud, P. Ms.",Con,3'515,10.6,,-,0.7
, ,"Nazemi Afshar, L. Ms.",UKIP,2'008,6,,+,5.1
, , , ,-----,---,, , 
,, , ,6'801,20.5,, , 
2001: Lab,, , , , , , , 
Birmingham Northfield [60],56.6,"Burden, R.H.*",Lab,15'419,49.6,,-,6.3
54'853,,"Ford, V. Ms.",Con,8'965,28.9,,-,0.7
, ,"Sword, T.P.",LD,4'171,13.4,,+,2.2
, ,"Cattell, M.",BNP,1'278,4.1,*,,
, ,"Chant, G.C. Ms.",UKIP,641,2.1,*,+,0.2
, ,"Rodgers, R.T.B.",CG,428,1.4,*,, 
, ,"Houldey, L. Ms.",S Alt,120,0.4,*,, 
, ,"Sweeney, F.",WRP,34,0.1,*,, 
, , , ,-----,---,, , 
, , , ,6'454,20.8,, , 
2001: Lab,, , , , , , , 
Birmingham Perry Barr [61],55.5,"Mahmood, K.*",Lab,18'269,47,,+,0.4
70'087, ,"Hunt, J.P.",LD,10'321,26.5,,+,3.6
, ,"Khan, N.",Con,6'513,16.7,,-,6.4
, ,"Naseem, M.",Resp,2'173,5.6,, ,
, ,"Claire, R.",SL,890,2.3,*,,
, ,"Balu, B. Ms.",UKIP,745,1.9,*,+,1
, , , ,-----,---,, , 
,, , ,7'948,20.4,, , 
2001: Lab,, , , , , , , 
Birmingham Selly Oak [62],59.5,"Jones, L.M. Ms.*",Lab,19'226,46.1,,-,6.3
70'159, ,"Tildesley, J.",Con,10'375,24.9,,-,1.8
, ,"Brighton, R.A.",LD,9'591,23,,+,6.7
, ,"Smith, B.",Grn,1'581,3.8,*,+,0.5
, ,"Burnett, R.K.",UKIP,967,2.3,*,+,0.9
, , , ,-----,---,, , 
,, , ,8'851,21.2,, , 
2001: Lab,, , , , , , , 
Birmingham Sparkbrook and Small Heath [63],51.8,"Godsiff, R.D.*",Lab,13'787,36.1,,-,21.4
73'670, ,"Yaqoob, S. Ms.",Resp,10'498,27.5,, ,
, ,"Hussain, T.",LD,7'727,20.2,,+,7
, ,"Mirza, S.",Con,3'480,9.1,,-,1.7
, ,"Brookes, J.J. Ms.",UKIP,1'342,3.5,*,+,1.8
, ,"Jamieson, I.J.",Grn,855,2.2,*,,
, ,"Chaudhary, A.Q.",Ind,503,1.3,*,, 
, , , ,-----,---,, , 
,, , ,3'289,8.6,, , 
2001: Lab,, , , , , , , 
Birmingham Yardley [64],57.8,"Hemming, J.A.M.",LD,13'648,46.4,,+,8
50'956, ,"Innes, J.E. Ms.",Lab,10'976,37.3,,-,9.6
, ,"Uppal, P.S.",Con,2'970,10.1,,-,3
, ,"Purcell, R.",BNP,1'523,5.2,, ,
, ,"Yaqub, M.",UKIP,314,1.1,*,-,0
, , , ,-----,---,, , 
,, , ,2'672,9.1,, , 
2001: Lab,, , , , , , , 
Bishop Auckland [65],56.1,"Goodman, H.C. Ms.",Lab,19'065,50,,-,8.8
67'916, ,"Foote-Wood, C.",LD,9'018,23.7,,+,7.9
, ,"Bell, R.A.",Con,8'736,22.9,,+,0.2
, ,"Hopson, M.B. Ms.",UKIP,1'309,3.4,*,,
, , , ,-----,---,, , 
,, , ,10'047,26.4,, , 
2001: Lab,,,,,,,,
,, , , , , , , 
Blaby [66],65.5,"Robathan, A.R.G.*",Con,22'487,45.5,,-,0.9
75'444, ,"Morgan, J.D.",Lab,14'614,29.6,,-,3.8
, ,"Stephenson, J.W.",LD,9'382,19,,+,1.6
, ,"Robinson, M.C.",BNP,1'704,3.5,*,+,0.6
, ,"Young, D.",UKIP,1'201,2.4,*,,
, , , ,-----,---,, , 
,, , ,7'873,15.9,, , 
2001: Con,, , , , , , , 
Blackburn [67],57.5,"Straw, J.W.*",Lab,17'562,42,,-,12.1
72'707, ,"Ameen, I.A.",Con,9'553,22.9,,-,8.3
, ,"Melia, A.P.",LD,8'608,20.6,,+,12.5
, ,"Holt, N.",BNP,2'263,5.4,, ,
, ,"Murray, C.J.",Ind,2'082,5,*,, 
, ,"Baxter, D. Ms.",UKIP,954,2.3,*,-,0.7
, ,"Carter, G.A.",Grn,783,1.9,*,,
, , , ,-----,---,, , 
,, , ,8'009,19.2,, , 
2001: Lab,, , , , , , , 
Blackpool North and Fleetwood [68],57.4,"Humble, J.J. Ms.*",Lab,20'620,47.6,,-,3.1
75'368, ,"Williamson, G.A.",Con,15'558,35.9,,-,1.4
, ,"Bate, S.",LD,5'533,12.8,,+,3.1
, ,"Hopwood, R.G.",UKIP,1'579,3.6,*,+,1.4
, , , ,-----,---,, , 
,, , ,5'062,11.7,, , 
2001: Lab,, , , , , , , 
Blackpool South [69],52.2,"Marsden, G.*",Lab,19'375,50.5,,-,3.8
73'383, ,"Winstanley, M.W.",Con,11'453,29.9,,-,3.1
, ,"Holt, D. Ms.",LD,5'552,14.5,,+,3.9
, ,"Goodwin, R.",BNP,1'113,2.9,*,,
, ,"Porter, J.C.",UKIP,849,2.2,*,+,0.1
, , , ,-----,---,, , 
,, , ,7'922,20.7,, , 
2001: Lab,, , , , , , , 
Blaenau Gwent [70],66.1,"Law, P.J.",BG,20'505,58.2, , ,
53'301, ,"Jones, M.B. Ms.",Lab,11'384,32.3,,-,39.7
, ,"Thomas, B.",LD,1'511,4.3,*,-,5
, ,"Price, N.J.",PC,843,2.4,*,-,8.8
, ,"Lee, P.J.",Con,816,2.3,*,-,5.2
, ,"Osborne, P.H.",UKIP,192,0.5,*,,
, , , ,-----,---,, , 
,, , ,9'121,25.9,, , 
2001: Lab,, , , , , , , 
Blaydon [71],62.6,"Anderson, D.",Lab,20'120,51.5,,-,3.3
62'412, ,"Maughan, P.J.",LD,14'785,37.9,,+,4.1
, ,"Luckhurst, D. Ms.",Con,3'129,8,,-,3.4
, ,"Endacott, N.R.",UKIP,1'019,2.6,*,,
, , , ,-----,---,, , 
,, , ,5'335,13.7,, , 
2001: Lab,, , , , , , , 
Blyth Valley [72],56.2,"Campbell, R.*",Lab,19'659,55,,-,4.7
63'628,,"Reid, J.S.",LD,11'132,31.1,,+,6.7
, ,"Windridge, M.H.",Con,4'982,13.9,,-,1.9
, , , ,-----,---,, , 
, , , ,8'527,23.8,, , 
2001: Lab,, , , , , , , 
Bognor Regis and Littlehampton [73],62.1,"Gibb, N.J.*",Con,18'183,44.6,,-,0.5
65'590, ,"O'Neill, G.K.",Lab,10'361,25.4,,-,5.3
, ,"McDougall, S.E.",LD,8'927,21.9,,+,4.3
, ,"Lithgow, A.D.",UKIP,3'276,8,,+,3.5
, , , ,-----,---,, , 
,, , ,7'822,19.2,, , 
2001: Con,, , , , , , , 
Bolsover [74],56.7,"Skinner, D.E.*",Lab,25'217,65.2,,-,3.4
68'201, ,"Hawksworth, D.E. Ms.",LD,6'780,17.5,,+,5.6
, ,"Imam, H.A.",Con,6'702,17.3,,-,2.2
, , , ,-----,---,, , 
,, , ,18'437,47.6,, , 
2001: Lab,, , , , , , , 
Bolton North East [75],54.8,"Crausby, D.A.*",Lab,16'874,45.7,,-,8.6
67'415, ,"Brierley, P.",Con,12'771,34.6,,+,1.9
, ,"Killeya, A.",LD,6'044,16.4,,+,6.1
, ,"Epsom, K.N.",UKIP,640,1.7,*,,
, ,"Ainscow, A.",Ver,375,1,*,, 
, ,"Lowe, L. Ms.",SL,207,0.6,*,,
, , , ,-----,---,, , 
,, , ,4'103,11.1,, , 
2001: Lab,, , , , , , , 
Bolton South East [76],50,"Iddon, B.*",Lab,18'129,56.9,,-,4.9
63'727, ,"Dunleavy, D.J. Ms.",Con,6'491,20.4,,-,3.8
, ,"Harasiwka, F.",LD,6'047,19,,+,7.4
, ,"Bates, F. Ms.",UKIP,840,2.6,*,,
, ,"Jones, W.D.",Ver,343,1.1,*,, 
, , , ,-----,---,, , 
,, , ,11'638,36.5,, , 
2001: Lab,, , , , , , , 
Bolton West [77],63.6,"Kelly, R.M. Ms.*",Lab,17'239,42.5,,-,4.5
63'790, ,"Allott, P.D.",Con,15'175,37.4,,+,3.8
, ,"Perkins, T.J.",LD,7'241,17.9,,-,0.5
, ,"Ford, M. Ms.",UKIP,524,1.3,*,,
, ,"Ford, M.",Ver,290,0.7,*,, 
, ,"Griggs, K. Ms.",XX,74,0.2,*,, 
, , , ,-----,---,, , 
,, , ,2'064,5.1,, , 
2001: Lab,, , , , , , , 
Bootle [78],48,"Benton, J.E.*",Lab,19'345,75.5,,-,2.1
53'378, ,"Newby, C.",LD,2'988,11.7,,+,3.1
, ,"Moustafa, W.",Con,1'580,6.2,,-,1.8
, ,"Nuttall, P.A.",UKIP,1'054,4.1,*,,
, ,"Glover, P.",S Alt,655,2.6,*,, 
,,,,,,,,
, , , ,-----,---,, , 
,, , ,16'357,63.8,, , 
2001: Lab,, , , , , , , 
Boston and Skegness [79],59.1,"Simmonds, M.J.M.*",Con,19'329,46.2,,+,3.3
70'799, ,"Kenny, P.R.",Lab,13'422,32.1,,-,9.6
, ,"Horsnell, R.",UKIP,4'024,9.6,,+,7.8
, ,"Riley, A.J.",LD,3'649,8.7,,-,3.7
, ,"Russell, W.L. Ms.",BNP,1'025,2.4,*,,
, ,"Petz, M.K.",Grn,420,1,*,-,0.3
, , , ,-----,---,, , 
,, , ,5'907,14.1,, , 
2001: Con,, , , , , , , 
Bosworth [80],65.7,"Tredinnick, D.A.S.*",Con,20'212,42.6,,-,1.9
72'260, ,"Herd, C.A.",Lab,14'893,31.4,,-,8
, ,"Moore, J.R.",LD,10'528,22.2,,+,5.9
, ,"Walker, D.A.",UKIP,1'866,3.9,*,,
, , , ,-----,---,, , 
,, , ,5'319,11.2,, , 
2001: Con,, , , , , , , 
Bournemouth East [81],59.7,"Ellwood, T.M.",Con,16'925,45,,+,1.7
62'987, ,"Garratt, A.C.W.",LD,11'681,31.1,,-,2.6
, ,"Stokes, D.",Lab,7'191,19.1,,-,0.7
, ,"Collier, T.E.R.",UKIP,1'802,4.8,*,+,1.7
, , , ,-----,---,, , 
,, , ,5'244,13.9,, , 
2001: Con,, , , , , , , 
Bournemouth West [82],53.5,"Butterfill, J.V.*",Con,14'057,41.4,,-,1.4
63'358, ,"Renaut, R.I.",LD,10'026,29.6,,+,4.4
, ,"Williams, D.E.",Lab,7'824,23.1,,-,5.8
, ,"Maclaire-Hillier, M.",UKIP,2'017,5.9,,+,2.8
, , , ,-----,---,, , 
,, , ,4'031,11.9,, , 
2001: Con,, , , , , , , 
Bracknell [83],63.4,"MacKay, A.J.*",Con,25'412,49.7,,+,3
80'658, ,"Keene, J.H. Ms.",Lab,13'376,26.2,,-,6.9
, ,"Glendon, L.S.",LD,10'128,19.8,,+,2.7
, ,"Pearson, V.R.D.",UKIP,1'818,3.6,*,+,1
, ,"Roberts, D.M. Ms.",Ind,407,0.8,*,, 
, , , ,-----,---,, , 
,, , ,12'036,23.5,, , 
2001: Con,, , , , , , , 
Bradford North [84],54.2,"Rooney, T.H.*",Lab,14'622,42.5,,-,7.2
63'427, ,"Ward, D.",LD,11'111,32.3,,+,12.5
, ,"Khong, T.K.",Con,5'569,16.2,,-,7.9
, ,"Cromie, L.J. Ms.",BNP,2'061,6,,+,1.4
, ,"Schofield, S.",Grn,560,1.6,*,-,0.1
, ,"Yildiz, U.K.",Resp,474,1.4,*,,
, , , ,-----,---,, , 
,, , ,3'511,10.2,, , 
2001: Lab,, , , , , , , 
Bradford South [85],55,"Sutcliffe, G.*",Lab,17'954,49,,-,6.7
66'591, ,"Carter, G.M. Ms.",Con,8'787,24,,-,4.3
, ,"Doyle, M.P.",LD,5'334,14.6,,+,4
, ,"Lewthwaite, J.G.",BNP,2'862,7.8,, ,
, ,"Curtis, D.",Grn,695,1.9,*,,
, ,"Smith, J.P.",UKIP,552,1.5,*,-,0.7
, ,"Muchewicz, T. Ms.",Ver,421,1.2,*,, 
, , , ,-----,---,, , 
,, , ,9'167,25,, , 
2001: Lab,, , , , , , , 
Bradford West [86],55.1,"Singh, M.*",Lab,14'570,40.1,,-,7.9
65'953, ,"Rashid, H.",Con,11'544,31.7,,-,5.4
, ,"Ali, M.",LD,6'620,18.2,,+,11.9
, ,"Cromie, P.G.S.",BNP,2'525,6.9,, ,
, ,"Darr, P.",Grn,1'110,3.1,*,-,3.9
, , , ,-----,---,, , 
,, , ,3'026,8.3,, , 
2001: Lab,, , , , , , , 
Braintree [87],65.9,"Newmark, B.",Con,23'597,44.5,,+,3.2
80'458, ,"Hurst, A.A.*",Lab,19'704,37.1,,-,4.8
, ,"Turner, P.J.R.",LD,7'037,13.3,,+,2
, ,"Abbott, J.E.",Grn,1'308,2.5,*,-,0
, ,"Lord, R.G.",UKIP,1'181,2.2,*,+,0.7
, ,"Nolan, M.A.",Ind,228,0.4,*,, 
, , , ,-----,---,, , 
,, , ,3'893,7.3,, , 
2001: Lab,, , , , , , , 
Brecon and Radnorshire [88],69.5,"Williams, R.H.*",LD,17'182,44.8,,+,8
55'171, ,"Davies, A.R.T.",Con,13'277,34.6,,-,0.2
, ,"Veale, L.C.F.",Lab,5'755,15,,-,6.4
, ,"Ap Gwynfor, M.",PC,1'404,3.7,*,+,0.2
, ,"Phillips, E.F. Ms.",UKIP,723,1.9,*,+,0.7
, , , ,-----,---,, , 
,, , ,3'905,10.2,, , 
2001: LD,, , , , , , , 
Brent East [89],55.3,"Teather, S.L. Ms.*",LD,14'764,47.5,,+,36.9
56'227, ,"Quresh, Y. Ms.",Lab,12'052,38.8,,-,24.4
, ,"Kwarteng, K.A.A.",Con,3'193,10.3,,-,7.9
, ,"Ali, S.",Grn,905,2.9,*,-,1.8
, ,"Weininger, M.A. Ms.",Ind,115,0.4,*,, 
, ,"Weiss, R.G.",Vote,39,0.1,*,, 
, , , ,-----,---,, , 
,, , ,2'712,8.7,, , 
2001: Lab,, , , , , , , 
Brent North [90],59.3,"Gardiner, B.S.*",Lab,17'420,48.8,,-,10.5
60'148, ,"Blackman, R.J.",Con,11'779,33,,+,3.7
, ,"Hughes, H.M.",LD,5'672,15.9,,+,4.6
, ,"Ahmad, B.",PAP,685,1.9,*,, 
, ,"Weiss, R.G.",Vote,126,0.4,*,, 
, , , ,-----,---,, , 
,, , ,5'641,15.8,, , 
2001: Lab,,,,,,,,
Brent South [91],52.7,"Butler, D.P. Ms.",Lab,17'501,58.8,,-,14.5
56'508, ,"Allie, J.B.",LD,6'175,20.7,,+,9.9
, ,"Saha, R.S.",Con,4'485,15.1,,+,2.5
, ,"Langley, R.N.C.",Grn,957,3.2,*,,
, ,"Wallace, S.A.L.",Ind,297,1,*,, 
, ,"Fernandez, R.R.",Ind,288,1,*,, 
, ,"Weiss, R.G.",Vote,61,0.2,*,, 
, , , ,-----,---,, , 
,, , ,11'326,38.1,, , 
2001: Lab,, , , , , , , 
Brentford and Isleworth [92],52.2,"Keen, A. Ms.*",Lab,18'329,39.8,,-,12.5
88'236, ,"Northcote, A.B.",Con,13'918,30.2,,+,1.1
, ,"Dakers, A.S.",LD,10'477,22.8,,+,9.3
, ,"Hunt, J.G.",Grn,1'652,3.6,*,+,0.6
, ,"Andrews, P.",CLBH,1'118,2.4,*,, 
, ,"Stoneman, M.R.",NF,523,1.1,*,, 
, , , ,-----,---,, , 
,, , ,4'411,9.6,, , 
2001: Lab,, , , , , , , 
Brentwood and Ongar [93],68.9,"Pickles, E.J.*",Con,23'609,53.5,,+,15.5
64'110, ,"Stollar, G.P.",LD,11'997,27.2,,+,11.6
, ,"Adams, J.P.",Lab,6'579,14.9,,+,2.3
, ,"Gulleford, S.A.",UKIP,1'805,4.1,*,+,2.7
, ,"Appleton, A.",,155,0.4,*, ,
, , , ,-----,---,, , 
,, , ,11'612,26.3,, , 
2001: Con,, , , , , , , 
Bridgend [94],59.2,"Moon, M. Ms.",Lab,16'410,43.3,,-,9.1
63'936, ,"Baker, H.L. Ms.",Con,9'887,26.1,,+,0.8
, ,"Warren, P.N.",LD,7'949,21,,+,6.6
, ,"Clubb, G.",PC,2'527,6.7,,-,0.5
, ,"Spink, J.H.",Grn,595,1.6,*,,
, ,"Rajan, K.",UKIP,491,1.3,*,,
, , , ,-----,---,, , 
,, , ,6'523,17.2,, , 
2001: Lab,, , , , , , , 
Bridgwater [95],63.8,"Liddell-Grainger, I.R.",Con,21'240,44.1,,+,3.7
75'379, ,"Burchell, M.",Lab,12'771,26.5,,-,0.2
, ,"Main, J.R.",LD,10'940,22.7,,-,7.3
, ,"Weinstein, R.",UKIP,1'767,3.7,*,+,0.9
, ,"Graham, R.C.",Grn,1'391,2.9,*,,
, , , ,-----,---,, , 
,, , ,8'469,17.6,, , 
2001: Con,, , , , , , , 
Brigg and Goole [96],63.4,"Cawsey, I.A.*",Lab,19'257,45.2,,-,3.6
67'205, ,"Bean, M.A.",Con,16'363,38.4,,-,0.8
, ,"Johnson, G.M.",LD,5'690,13.4,,+,4.1
, ,"Martin, S.T.",UKIP,1'268,3,*,+,1.3
, , , ,-----,---,, , 
,, , ,2'894,6.8,, , 
2001: Lab,,,,,,,,
Brighton Kemptown [97],60.2,"Turner, D.S.*",Lab,15'858,39.9,,-,7.9
65'978, ,"Symes, J.R. Ms.",Con,13'121,33,,-,2.2
, ,"Pepper, M.A. Ms.",LD,6'560,16.5,,+,6.1
, ,"Williams, S.N.O.",Grn,2'800,7,,+,3.8
, ,"Chamberlain-Webber,  J.A.A.S.",UKIP,758,1.9,*,+,0.5
, ,"O'Reilly, C.E. Ms.",PP,172,0.4,*,, 
, ,"McLeod, J.",SL,163,0.4,*,,
, ,"Cook, E. Ms.",Ind,127,0.3,*,, 
, ,"Clarke, P.A.",S Alt,113,0.3,*,, 
, ,"Dobbs, G.",Ind,47,0.1,*,, 
, , , ,-----,---,, , 
,, , ,2'737,6.9,, , 
2001: Lab,, , , , , , , 
Brighton Pavilion [98],63.9,"Lepper, D.*",Lab,15'427,35.4,,-,13.3
68'182, ,"Weatherley, M.R.",Con,10'397,23.9,,-,1.2
, ,"Taylor, K.R.",Grn,9'530,21.9,,+,12.5
, ,"Thorpe, H. Ms.",LD,7'171,16.5,,+,3.3
, ,"Crisp-Comotto, K.J. Ms.",UKIP,508,1.2,*,+,0.3
, ,"Greenstein, A.N.",AGS,188,0.4,*,, 
, ,"Fyvie, I.C.",SL,152,0.3,*,,
, ,"Rooke, C.D.",Ind,122,0.3,*,, 
, ,"Jago, K.",,44,0.1,*, ,
, , , ,-----,---,, , 
,, , ,5'030,11.6,, , 
2001: Lab,, , , , , , , 
Bristol East [99],61.3,"McCarthy, K. Ms.",Lab,19'152,45.9,,-,9.1
68'081, ,"James, P.C.",LD,10'531,25.2,,+,8.1
, ,"Manning, I.J.B. Ms.",Con,8'787,21.1,,-,0.7
, ,"Krishna-Das, A.",Grn,1'586,3.8,*,+,1
, ,"Smith, M.J. Ms.",UKIP,1'132,2.7,*,+,1.3
, ,"North, P.A.L. Ms.",Resp,532,1.3,*,,
, , , ,-----,---,, , 
,, , ,8'621,20.7,, , 
2001: Lab,, , , , , , , 
Bristol North West [100],61.6,"Naysmith, J.D.*",Lab,22'192,46.7,,-,5.4
77'095, ,"Watson, A.P.L.",Con,13'230,27.9,,-,0.9
, ,"Hoyle, R.",LD,9'545,20.1,,+,4.2
, ,"Lees, C.M.",UKIP,1'132,2.4,*,-,0.1
, ,"Blundell, M.T.M.",ED,828,1.7,*,, 
, ,"Jones, G.M.L.",S Alt,565,1.2,*,, 
, , , ,-----,---,, , 
,, , ,8'962,18.9,, , 
2001: Lab,, , , , , , , 
Bristol South [101],59.8,"Primarolo, D. Ms.*",Lab,20'778,49.1,,-,7.8
70'806, ,"Barnard, K. Ms.",LD,9'636,22.8,,+,7.9
, ,"Hill, G.",Con,8'466,20,,-,2.3
, ,"Bolton, C.N.",Grn,2'127,5,,+,2
, ,"Dent, M.A.",UKIP,1'321,3.1,*,+,1.9
, , , ,-----,---,, , 
,, , ,11'142,26.3,, , 
2001: Lab,, , , , , , , 
Bristol West [102],70.5,"Williams, S.R.",LD,21'987,38.3,,+,9.4
81'367,,"Davey, V. Ms.*",Lab,16'859,29.4,,-,7.5
, ,"Martin, D.J.P.",Con,15'429,26.9,,-,1.9
, ,"Quinnell, J.M.",Grn,2'163,3.8,*,+,0.2
, ,"Muir, S.D.",UKIP,439,0.8,*,-,0.1
, ,"Kennedy, B.J.",SL,329,0.6,*,,
, ,"Reid, D.J.",SBNB,190,0.3,*,, 
, , , ,-----,---,, , 
, , , ,5'128,8.9,, , 
2001: Lab,, , , , , , , 
Bromley and Chislehurst [103],64.9,"Forth, E.*",Con,23'583,51.1,,+,1.6
71'137, ,"Reeves, R.J. Ms.",Lab,10'241,22.2,,-,6.4
, ,"Brooks, P.R.",LD,9'368,20.3,,+,1.4
, ,"Hooper, D.N.",UKIP,1'475,3.2,*,+,0.3
, ,"Garrett, A.C. Ms.",Grn,1'470,3.2,*,,
, , , ,-----,---,, , 
,, , ,13'342,28.9,, , 
2001: Con,, , , , , , , 
Bromsgrove [104],67.6,"Kirkbride, J. Ms.*",Con,24'387,51,,-,0.7
70'762, ,"Jones, D.A.",Lab,14'307,29.9,,-,4
, ,"Haswell, S.J. Ms.",LD,7'197,15.1,,+,3.2
, ,"Buckingham, P.N.",UKIP,1'919,4,*,+,1.6
, , , ,-----,---,, , 
,, , ,10'080,21.1,, , 
2001: Con,, , , , , , , 
Broxbourne [105],59.2,"Walker, C.A.R.",Con,21'878,53.8,,-,0.3
68'597, ,"Bolden, J.D.",Lab,10'369,25.5,,-,4.8
, ,"Porrer, A.J.R.",LD,4'973,12.2,,+,1.3
, ,"Emerson, A.",BNP,1'929,4.7,*,+,2.5
, ,"Harvey, M.",UKIP,1'479,3.6,*,+,1.4
, , , ,-----,---,, , 
,, , ,11'509,28.3,, , 
2001: Con,, , , , , , , 
Broxtowe [106],69.1,"Palmer, N.D.*",Lab,20'457,41.9,,-,6.7
70'617, ,"Seely, R.W.H.",Con,18'161,37.2,,+,0.6
, ,"Watts, D.K.",LD,7'837,16.1,,+,1.4
, ,"Anderson, P.D.",Grn,896,1.8,*,,
, ,"Wolfe, P.A. Ms.",UKIP,695,1.4,*,,
, ,"Hockney, D.",Ver,590,1.2,*,, 
, ,"Gregory, M.C.",Ind,170,0.3,*,, 
, , , ,-----,---,, , 
,, , ,2'296,4.7,, , 
2001: Lab,, , , , , , , 
Buckingham [107],69.9,"Bercow, J.S.*",Con,27'748,57.4,,+,3.8
69'083, ,"Greene, D.M.",Lab,9'619,19.9,,-,4.3
, ,"Croydon, L.J.",LD,9'508,19.7,,-,0.3
, ,"Williams, D.J.",UKIP,1'432,3,*,+,0.8
, , , ,-----,---,, , 
,, , ,18'129,37.5,, , 
2001: Con,, , , , , , , 
Burnley [108],59.6,"Ussher, K. Ms.",Lab,14'999,38.5,,-,10.9
65'458, ,"Birtwistle, G.",LD,9'221,23.7,,+,7.5
, ,"Brooks, H.",Ind,5'786,14.8,, , 
, ,"Miah, Y.M.",Con,4'206,10.8,,-,10.1
, ,"Starr, L.",BNP,4'003,10.3,,-,1
, ,"Slater, J.R.",Ind,392,1,*,, 
, ,"McDowell, R.",UKIP,376,1,*,-,1.4
, , , ,-----,---,, , 
,, , ,5'778,14.8,, , 
2001: Lab,, , , , , , , 
Burton [109],62.1,"Dean, J.E.A. Ms.*",Lab,19'701,41.1,,-,7.9
77'152, ,"Pepper, A.N.S.",Con,18'280,38.2,,-,0.4
, ,"Johnson, S. Ms.",LD,6'236,13,,+,3.4
, ,"Russell, J.A. Ms.",BNP,1'840,3.8,*,,
, ,"Lancaster, P.A.",UKIP,913,1.9,*,-,0.2
, ,"Buxton, B.G.",Ver,912,1.9,*,, 
, , , ,-----,---,, , 
,, , ,1'421,3,, , 
2001: Lab,, , , , , , , 
Bury North [110],61.5,"Chaytor, D.M.*",Lab,19'130,43,,-,8.2
72'268, ,"Nuttall, D.J.",Con,16'204,36.5,,-,0.2
, ,"Davison, W.J.",LD,6'514,14.7,,+,2.5
, ,"Clough, S.A.",BNP,1'790,4,*,,
, ,"Silver, P.S.",UKIP,476,1.1,*,,
, ,"O'Neill, R.",SL,172,0.4,*,,
, ,"Upton, I.R.",Ver,153,0.3,*,, 
, , , ,-----,---,, , 
,, , ,2'926,6.6,, , 
2001: Lab,, , , , , , , 
Bury South [111],58.5,"Lewis, I.*",Lab,19'741,50.4,,-,8.8
66'898, ,"Williams, A.P.",Con,10'829,27.7,,+,0.8
, ,"D'Albert, V.D.",LD,6'968,17.8,,+,3.9
, ,"Greenhalgh, J.H.",UKIP,1'059,2.7,*,,
, ,"Hossack, Y. Ms.",Ind,557,1.4,*,, 
, , , ,-----,---,, , 
,, , ,8'912,22.8,, , 
2001: Lab,, , , , , , , 
Bury St. Edmunds [112],66.1,"Ruffley, D.L.*",Con,24'332,46.2,,+,2.8
79'656, ,"Monaghan, D.F.",Lab,14'402,27.4,,-,11.1
, ,"Chappell, D.E.",LD,10'423,19.8,,+,5.9
, ,"Howlett, J.E.",UKIP,1'859,3.5,*,+,1.9
, ,"Manning, G.E.",Grn,1'603,3,*,,
, , , ,-----,---,, , 
,, , ,9'930,18.9,, , 
2001: Con,, , , , , , , 
Caernarfon [113],60.3,"Williams, H.*",PC,12'747,45.5,,+,1.1
46'404, ,"Eaglestone, M.R.",Lab,7'538,26.9,,-,5.4
, ,"Ab Owain, E.M.",LD,3'508,12.5,,+,6.3
, ,"Opperman, G.T.",Con,3'483,12.4,,-,2.7
, ,"Williams, E.",UKIP,723,2.6,*,+,0.7
, , , ,-----,---,, , 
,, , ,5'209,18.6,, , 
2001: PC,, , , , , , , 
Caerphilly [114],59.3,"David, W.*",Lab,22'190,56.6,,-,1.6
66'162, ,"Whittle, L.G.",PC,6'831,17.4,,-,3.6
, ,"Watson, S.H.W.",Con,5'711,14.6,,+,3.2
, ,"Ali, A.J.",LD,3'861,9.8,,+,0.4
, ,"Beard, G.J.",FW,636,1.6,*,, 
, , , ,-----,---,, , 
,, , ,15'359,39.2,, , 
2001: Lab,, , , , , , , 
"Caithness Sutherland and Easter Ross [115]",59.3,"Thurso, J.A.*",LD,13'957,50.5,,+,11.9
46'629, ,"Jamieson, A.W.",Lab,5'789,20.9,,-,3.3
, ,"Shirron, K.A. Ms.",SNP,3'686,13.3,,-,7
, ,"Ross, P.A.",Con,2'835,10.2,,-,3.2
, ,"Campbell, J.G.P.",Ind,848,3.1,*,, 
, ,"Ivory, L.",SSP,548,2,*,-,0.2
, , , ,-----,---,, , 
,, , ,8'168,29.5,, , 
2001: LD,, , , , , , , 
Calder Valley [116],66.1,"McCafferty, C. Ms.*",Lab,18'426,38.6,,-,4.1
72'320, ,"Truss, E.M. Ms.",Con,17'059,35.7,,-,0.5
, ,"Ingleton, E.M.D. Ms.",LD,9'027,18.9,,+,2.9
, ,"Gregory, J.D.",BNP,1'887,4,*,,
, ,"Palmer, P.E.J.",Grn,1'371,2.9,*,+,0.7
, , , ,-----,---,, , 
,, , ,1'367,2.9,, , 
2001: Lab,, , , , , , , 
