"Constituency name, electorate, 2001 result",Turnout,Candidate (* = incumbent MP),Party,Votes,Percent share,* = lost deposit,Change 2001-05,
, ,"Cobbe, P.R.",Ind,177,0.4,*,, 
, ,"Walker, G.P.",Ind,58,0.1,*,, 
, , , ,-----,---,, , 
,, , ,4'638,10.1,, , 
2001: LD,, , , , , , , 
Batley and Spen [35],62.3,"Wood, M.*",Lab,17'974,45.8,,-,4
62'949, ,"Light, R.C.",Con,12'186,31.1,,-,5.7
, ,"Bentley, N.D.",LD,5'731,14.6,,+,4.3
, ,"Auty, C.",BNP,2'668,6.8,, ,
, ,"Lord, C.R.",Grn,649,1.7,*,+,0.1
, , , ,-----,---,, , 
,, , ,5'788,14.8,, , 
2001: Lab,, , , , , , , 
Battersea [36],59,"Linton, M.*",Lab,16'569,40.4,,-,9.9
69'548, ,"Schofield, D.J.",Con,16'406,40,,+,3.4
, ,"Bhatti, N.M. Ms.",LD,6'006,14.6,,+,2.5
, ,"Charlton, W.H.",Grn,1'735,4.2,*,,
, ,"Jones, T.F.",UKIP,333,0.8,*,,
, , , ,-----,---,, , 
,, , ,163,0.4,, , 
2001: Lab,, , , , , , , 
Beaconsfield [37],64.5,"Grieve, D.C.R.*",Con,24'126,55.4,,+,2.7
67'473, ,"Chapman, P.J.",LD,8'873,20.4,,-,1.2
, ,"Sobel, A.D.",Lab,8'422,19.4,,-,2.4
, ,"Fagan, J.W.F.",UKIP,2'102,4.8,*,+,1
, , , ,-----,---,, , 
,, , ,15'253,35,, , 
2001: Con,, , , , , , , 
Beckenham [38],65.5,"Lait, J.A.H. Ms.*",Con,22'183,45.3,,+,0.1
74'706, ,"Curran, L.K.",Lab,13'782,28.1,,-,6.2
, ,"Foulger, J.W.",LD,10'862,22.2,,+,6.1
, ,"Cartwright, J.D.C.",UKIP,1'301,2.7,*,+,0.9
, ,"Reed, R.A.",Ind,836,1.7,*,, 
, , , ,-----,---,, , 
,, , ,8'401,17.2,, , 
2001: Con,, , , , , , , 
Bedford [39],62.7,"Hall, P.*",Lab,17'557,41.7,,-,6.2
67'103, ,"Fuller, R.Q.",Con,14'174,33.7,,+,0.9
, ,"Headley, M.P.",LD,9'063,21.5,,+,5.7
, ,"Conquest, P.C.",UKIP,995,2.4,*,+,1.3
, ,"McCready, J.C.",Ind,283,0.7,*,, 
