UK General Election Results 1997,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%Share,Electorate,Majority,Turnout,Status,Declaration
,,Anthony Brownlow,Referendum,863,2.37%,,,,,
,,Ken Douglas,Socialist,466,1.28%,,,,,
,,Maureen Aitken,People's Labour,280,0.77%,,,,,
,,Michael Driver,Workers' Revolutionary,63,0.17%,,,,,
,,,,,,,,,,
Sheffield Hallam,,Richard Allan,Liberal Democrat,23345,51.33%,62834,8271,72.38%,Liberal Democrat Gain,02/05/97 01:12
,,Irvine Patnick,Conservative,15074,33.14%,,,,,
,,Stephen Conquest,Labour,6147,13.52%,,,,,
,,Ian Davidson,Referendum,788,1.73%,,,,,
,,Philip Booler,Independent,125,0.27%,,,,,
,,,,,,,,,,
Sheffield Heeley,,Bill Michie,Labour,26274,60.73%,66599,17078,64.96%,Labour Hold,02/05/97 00:45
,,Roger Davison,Liberal Democrat,9196,21.25%,,,,,
,,John Harthman,Conservative,6767,15.64%,,,,,
,,David Mawson,Referendum,1029,2.38%,,,,,
,,,,,,,,,,
Sheffield Hillsborough,,Helen Jackson,Labour,30150,56.86%,74642,16451,71.04%,Labour Hold,02/05/97 01:31
,,Arthur Dunworth,Liberal Democrat,13699,25.84%,,,,,
,,David Nuttall,Conservative,7707,14.53%,,,,,
,,John Rusling,Referendum,1468,2.77%,,,,,
,,,,,,,,,,
Sherwood,,Paddy Tipping,Labour,33071,58.50%,74788,16812,75.59%,Labour Hold,02/05/97 04:15
,,Roland Spencer,Conservative,16259,28.76%,,,,,
,,Bruce Moult,Liberal Democrat,4889,8.65%,,,,,
,,Lee Slack,Referendum,1882,3.33%,,,,,
,,Paul Ballard,British National,432,0.76%,,,,,
,,,,,,,,,,
Shipley,,Christopher Leslie,Labour,22962,43.43%,69281,2996,76.32%,Labour Gain,02/05/97 01:30
,,Marcus Fox,Conservative,19966,37.76%,,,,,
,,John Cole,Liberal Democrat,7984,15.10%,,,,,
,,Stephen Ellams,Referendum,1960,3.71%,,,,,
,,,,,,,,,,
Shrewsbury and Atcham,,Paul Marsden,Labour,20484,37.01%,73542,1670,75.25%,Labour Gain,02/05/97 02:24
,,Derek Conway,Conservative,18814,33.99%,,,,,
,,Anne Woolland,Liberal Democrat,13838,25.00%,,,,,
,,Dylan Barker,Referendum,1346,2.43%,,,,,
,,D Rowlands,United Kingdom Independence,477,0.86%,,,,,
,,Alan Dignan,Independent,257,0.46%,,,,,
,,Alan Williams,Independent,128,0.23%,,,,,
,,,,,,,,,,
Shropshire North,,Owen Paterson,Conservative,20730,40.24%,70852,2195,72.71%,Conservative Hold,02/05/97 04:04
,,Ian Lucas,Labour,18535,35.98%,,,,,
,,John Stevens,Liberal Democrat,10489,20.36%,,,,,
,,Denis Allen,Referendum,1764,3.42%,,,,,
,,,,,,,,,,
Sittingbourne and Sheppey,,Derek Wyatt,Labour,18723,40.56%,63850,1929,72.30%,Labour Gain,02/05/97 01:37
,,Roger Moate,Conservative,16794,36.38%,,,,,
,,Roger Truelove,Liberal Democrat,8447,18.30%,,,,,
,,Peter Moull,Referendum,1082,2.34%,,,,,
,,Chris Driver,Monster Raving Loony,644,1.40%,,,,,
,,N Risi,United Kingdom Independence,472,1.02%,,,,,
,,,,,,,,,,
Skipton and Ripon,,David Curry,Conservative,25294,46.54%,72042,11620,75.44%,Conservative Hold,02/05/97 13:03
,,Thomas Mould,Liberal Democrat,13674,25.16%,,,,,
,,Robert Marchant,Labour,12171,22.39%,,,,,
,,Nancy Holdsworth,Referendum,3212,5.91%,,,,,
,,,,,,,,,,
Sleaford and North Hykeham,,Douglas M Hogg,Conservative,23358,43.93%,71486,5123,74.39%,Conservative Hold,02/05/97 04:16
,,Sean Harriss,Labour,18235,34.29%,,,,,
,,John Marriott,Liberal Democrat,8063,15.16%,,,,,
,,Peter Clery,Referendum,2942,5.53%,,,,,
,,Richard Overton,Independent,578,1.09%,,,,,
,,,,,,,,,,
Slough,,Fiona Mactaggart,Labour,27029,56.63%,70283,13071,67.91%,Labour Gain,02/05/97 04:35
,,Peta Buscombe,Conservative,13958,29.24%,,,,,
,,Chris Bushill,Liberal Democrat,3509,7.35%,,,,,
,,Anne Bradshaw,Liberal,1835,3.84%,,,,,
,,Terence Sharkey,Referendum,1124,2.35%,,,,,
,,Paul Whitmore,Independent,277,0.58%,,,,,
,,,,,,,,,,
Solihull,,John Taylor,Conservative,26299,44.65%,78898,11397,74.66%,Conservative Hold,02/05/97 01:03
,,Michael Southcombe,Liberal Democrat,14902,25.30%,,,,,
,,Rachel Harris,Labour,14334,24.33%,,,,,
,,Michael Nattrass,Referendum,2748,4.67%,,,,,
,,Jim Caffery,People's Labour,623,1.06%,,,,,
,,,,,,,,,,
Somerton and Frome,,David Heath,Liberal Democrat,22684,39.52%,73988,130,77.58%,Liberal Democrat Gain,02/05/97 03:26
,,Mark Robinson,Conservative,22554,39.29%,,,,,
,,Bob Ashford,Labour,9385,16.35%,,,,,
,,Robert Rodwell,Referendum,2449,4.27%,,,,,
,,RP Gadd,United Kingdom Independence,331,0.58%,,,,,
,,,,,,,,,,
South Holland and the Deepings,,John Hayes,Conservative,24691,49.25%,69642,7991,71.98%,Conservative Gain,02/05/97 05:22
,,John Lewis,Labour,16700,33.31%,,,,,
,,Peter Millen,Liberal Democrat,7836,15.63%,,,,,
,,Guy Erwood,Independent,902,1.80%,,,,,
,,,,,,,,,,
South Ribble,,David Borrow,Labour,25856,46.81%,71670,5084,77.06%,Labour Gain,02/05/97 04:27
,,Robert Atkins,Conservative,20772,37.61%,,,,,
,,Tim Farron,Liberal Democrat,5879,10.64%,,,,,
,,Mark Adams,Referendum,1475,2.67%,,,,,
,,Nigel Ashton,Liberal,1127,2.04%,,,,,
,,Bibette Leadbetter,Natural Law,122,0.22%,,,,,
,,,,,,,,,,
South Shields,,David Clark,Labour,27834,71.41%,62261,22153,62.60%,Labour Hold,02/05/97 00:52
,,Mark Hoban,Conservative,5681,14.57%,,,,,
,,David Ord,Liberal Democrat,3429,8.80%,,,,,
,,Alan Loraine,Referendum,1660,4.26%,,,,,
,,Ian Wilburn,Independent,374,0.96%,,,,,
,,,,,,,,,,
Southampton Itchen,,John Denham,Labour,29498,54.79%,76869,14229,70.04%,Labour Hold,02/05/97 01:41
,,Peter Fleet,Conservative,15269,28.36%,,,,,
,,David Harrison,Liberal Democrat,6289,11.68%,,,,,
,,John Clegg,Referendum,1660,3.08%,,,,,
,,Ken Rose,Socialist Labour,628,1.17%,,,,,
,,Clive Hoar,United Kingdom Independence,172,0.32%,,,,,
,,Gavin Marsh,Socialist,113,0.21%,,,,,
,,Rosemary Jane Barry,Natural Law,110,0.20%,,,,,
,,Ferdi McDermott,People's Labour,99,0.18%,,,,,
,,,,,,,,,,
Southampton Test,,Alan Whitehead,Labour,28396,54.15%,72983,13684,71.85%,Labour Gain,02/05/97 01:26
,,James Hill,Conservative,14712,28.05%,,,,,
,,Alan Dowden,Liberal Democrat,7171,13.67%,,,,,
,,Peter Day,Referendum,1397,2.66%,,,,,
,,Howard Marks,Loyal Conservative,388,0.74%,,,,,
,,AM McCabe,United Kingdom Independence,219,0.42%,,,,,
,,Paul Taylor,Independent,81,0.15%,,,,,
,,John Sinel,Natural Law,77,0.15%,,,,,
,,,,,,,,,,
Southend West,,David Amess,Conservative,18029,38.76%,66493,2615,69.95%,Conservative Hold,02/05/97 05:20
,,Nina Stimson,Liberal Democrat,15414,33.14%,,,,,
,,Alan Harley,Labour,10600,22.79%,,,,,
,,Charles Webster,Referendum,1734,3.73%,,,,,
,,B Lee,United Kingdom Independence,636,1.37%,,,,,
,,Peter Warburton,Natural Law,101,0.22%,,,,,
,,,,,,,,,,
Southport,,Ronnie Fearn,Liberal Democrat,24346,48.11%,70194,6160,72.09%,Liberal Democrat Gain,02/05/97 00:44
,,Matthew Banks,Conservative,18186,35.94%,,,,,
,,Sarah Norman,Labour,6129,12.11%,,,,,
,,Frank Buckle,Referendum,1368,2.70%,,,,,
,,Susan Ashton,Liberal,386,0.76%,,,,,
,,Elizabeth Lines,Natural Law,93,0.18%,,,,,
,,Michael Middleton,National Democratic Resistance,92,0.18%,,,,,
,,,,,,,,,,
Southwark North and Bermondsey,,Simon Hughes,Liberal Democrat,19831,48.61%,65598,3387,62.19%,Liberal Democrat Hold,02/05/97 02:53
,,Jeremy Fraser,Labour,16444,40.31%,,,,,
,,Grant Shapps,Conservative,2835,6.95%,,,,,
,,Michael Davidson,British National,713,1.75%,,,,,
,,Bill Newton,Referendum,543,1.33%,,,,,
,,Ian Grant,Communist of Britain,175,0.43%,,,,,
,,Jim Munday,Liberal,157,0.38%,,,,,
,,Ingga Yngvisson,National Democratic Resistance,95,0.23%,,,,,
,,,,,,,,,,
Sparkbrook and Small Heath,,Roger Godsiff,Labour,26841,64.27%,73130,19526,57.11%,Labour Hold,02/05/97 01:17
,,Kenneth Hardeman,Conservative,7315,17.51%,,,,,
,,Roger Harmer,Liberal Democrat,3889,9.31%,,,,,
,,Alan Clawley,Green,959,2.30%,,,,,
,,Riaz Dooley,Referendum,737,1.76%,,,,,
,,Pankaj Patel,Independent,538,1.29%,,,,,
,,Rashid Syed,Independent,513,1.23%,,,,,
,,Sajada Bi,Independent,490,1.17%,,,,,
,,Colin Wren,Socialist Labour,483,1.16%,,,,,
,,,,,,,,,,
Spelthorne,,David Wilshire,Conservative,23306,44.89%,70562,3473,73.58%,Conservative Hold,02/05/97 03:36
,,Keith Dibble,Labour,19833,38.20%,,,,,
,,Edward Glynn,Liberal Democrat,6821,13.14%,,,,,
,,Barney Coleman,Referendum,1495,2.88%,,,,,
,,John Fowler,United Kingdom Independence,462,0.89%,,,,,
,,,,,,,,,,
St. Albans,,Kerry Pollard,Labour,21338,42.00%,65560,4459,77.49%,Labour Gain,02/05/97 02:51
,,David Rutley,Conservative,16879,33.22%,,,,,
,,Anthony Rowlands,Liberal Democrat,10692,21.05%,,,,,
,,Jim Warrilow,Referendum,1619,3.19%,,,,,
,,Sari Craigen,Rainbow Dream Ticket,166,0.33%,,,,,
,,Ian Docker,Natural Law,111,0.22%,,,,,
,,,,,,,,,,
St. Helens North,,Dave Watts,Labour,31953,64.90%,71380,23417,68.97%,Labour Hold,02/05/97 01:58
,,Pelham Walker,Conservative,8536,17.34%,,,,,
,,John Beirne,Liberal Democrat,6270,12.74%,,,,,
,,David Johnson,Referendum,1276,2.59%,,,,,
,,Ron Waugh,Socialist Labour,833,1.69%,,,,,
,,Richard Rudin,United Kingdom Independence,363,0.74%,,,,,
,,,,,,,,,,
St. Helens South,,Gerry E Bermingham,Labour,30367,68.61%,66526,23739,66.53%,Labour Hold,02/05/97 01:31
,,Mary Russell,Conservative,6628,14.98%,,,,,
,,Brian Spencer,Liberal Democrat,5919,13.37%,,,,,
,,William Holdaway,Referendum,1165,2.63%,,,,,
,,Harriet Jump,Natural Law,179,0.40%,,,,,
,,,,,,,,,,
St. Ives,,Andrew George,Liberal Democrat,23966,44.46%,71680,7170,75.20%,Liberal Democrat Gain,02/05/97 10:59
,,William Rogers,Conservative,16796,31.16%,,,,,
,,Christopher Fegan,Labour,8184,15.18%,,,,,
,,Michael Faulkner,Referendum,3714,6.89%,,,,,
,,Patricia Garnier,United Kingdom Independence,567,1.05%,,,,,
,,Graham Stephens,Liberal,425,0.79%,,,,,
,,Kevin Lippiatt,Independent,178,0.33%,,,,,
,,William Hitchins,Independent,71,0.13%,,,,,
,,,,,,,,,,
Stafford,,David Kidney,Labour,24606,47.53%,67555,4314,76.64%,Labour Gain,02/05/97 03:20
,,David Cameron,Conservative,20292,39.19%,,,,,
,,Pam Hornby,Liberal Democrat,5480,10.58%,,,,,
,,Stephen Culley,Referendum,1146,2.21%,,,,,
,,Ashton May,Monster Raving Loony,248,0.48%,,,,,
,,,,,,,,,,
Staffordshire Moorlands,,Charlotte Atkins,Labour,26686,52.21%,66095,10049,77.34%,Labour Gain,02/05/97 03:15
,,Andrew Ashworth,Conservative,16637,32.55%,,,,,
,,Christina Jebb,Liberal Democrat,6191,12.11%,,,,,
,,David Stanworth,Referendum,1603,3.14%,,,,,
,,,,,,,,,,
Staffordshire South,,Patrick Cormack,Conservative,25568,50.02%,68896,7821,74.19%,Conservative Hold,02/05/97 03:40
,,Judith Maistre,Labour,17747,34.72%,,,,,
,,Jamie Calder,Liberal Democrat,5797,11.34%,,,,,
,,Peter Carnell,Referendum,2002,3.92%,,,,,
,,,,,,,,,,
Stalybridge and Hyde,,Tom Pendry,Labour,25363,58.87%,65468,14806,65.80%,Labour Hold,02/05/97 00:47
,,Nick Bois,Conservative,10557,24.51%,,,,,
,,Martin Cross,Liberal Democrat,5169,12.00%,,,,,
,,Robert Clapham,Referendum,1992,4.62%,,,,,
,,,,,,,,,,
Stevenage,,Barbara Follett,Labour,28440,55.35%,66889,11582,76.82%,Labour Gain,02/05/97 03:13
,,Timothy Wood,Conservative,16858,32.81%,,,,,
,,Alex Wilcock,Liberal Democrat,4588,8.93%,,,,,
,,Jeffrey Coburn,Referendum,1194,2.32%,,,,,
,,David Bundy,People's Labour,196,0.38%,,,,,
,,Andrew Calcraft,Natural Law,110,0.21%,,,,,
,,,,,,,,,,
Stirling,,Anne McGuire,Labour,20382,47.45%,52491,6411,81.84%,Labour Gain,02/05/97 01:19
,,Michael B Forsyth,Conservative,13971,32.52%,,,,,
,,Ewan Dow,Scottish National,5752,13.39%,,,,,
,,Alistair Tough,Liberal Democrat,2675,6.23%,,,,,
,,William McMurdo,United Kingdom Independence,154,0.36%,,,,,
,,Elaine Olsen,Independent,24,0.06%,,,,,
,,,,,,,,,,
Stockport,,Ann Coffey,Labour,29338,62.86%,65232,18912,71.54%,Labour Hold,02/05/97 01:20
,,Stephen Fitzsimmons,Conservative,10426,22.34%,,,,,
,,Sylvia Roberts,Liberal Democrat,4951,10.61%,,,,,
,,William Morley-Scott,Referendum,1280,2.74%,,,,,
,,Geoff Southern,Socialist Labour,255,0.55%,,,,,
,,Colin Newitt,Monster Raving Loony,213,0.46%,,,,,
,,Christopher Dronfield,Independent,206,0.44%,,,,,
,,,,,,,,,,
Stockton North,,Frank Cook,Labour,29726,66.84%,64380,21357,69.08%,Labour Hold,02/05/97 01:48
,,Bryan Johnston,Conservative,8369,18.82%,,,,,
,,Suzanne Fletcher,Liberal Democrat,4816,10.83%,,,,,
,,Kevin McConnell,Referendum,1563,3.51%,,,,,
,,,,,,,,,,
Stockton South,,Daria Taylor,Labour,28790,55.24%,68470,11585,76.12%,Labour Gain,02/05/97 01:31
,,Tim Devlin,Conservative,17205,33.01%,,,,,
,,Peter Monck,Liberal Democrat,4721,9.06%,,,,,
,,John Horner,Referendum,1400,2.69%,,,,,
,,,,,,,,,,
Stoke-on-Trent Central,,Mark Fisher,Labour,26662,66.25%,64113,19924,62.77%,Labour Hold,02/05/97 02:20
,,Neil Jones,Conservative,6738,16.74%,,,,,
,,Edward Fordham,Liberal Democrat,4809,11.95%,,,,,
,,Peter Stanyer,Referendum,1071,2.66%,,,,,
,,Michael Coleman,British National,606,1.51%,,,,,
,,Fran Oborski,Liberal,359,0.89%,,,,,
,,,,,,,,,,
Stoke-on-Trent North,,Joan Walley,Labour,25190,65.15%,59030,17392,65.50%,Labour Hold,02/05/97 02:17
,,Christopher Day,Conservative,7798,20.17%,,,,,
,,Henry Jebb,Liberal Democrat,4141,10.71%,,,,,
,,Jennefer Tobin,Referendum,1537,3.98%,,,,,
,,,,,,,,,,
Stoke-on-Trent South,,George Stevenson,Labour,28645,61.95%,69968,18303,66.08%,Labour Hold,02/05/97 02:22
,,Sheila Scott,Conservative,10342,22.37%,,,,,
,,Peter Barnett,Liberal Democrat,4710,10.19%,,,,,
,,Richard Adams,Referendum,1103,2.39%,,,,,
,,Alison Micklem,Liberal,580,1.25%,,,,,
,,Steven Batkin,British National,568,1.23%,,,,,
,,Brian Lawrence,National Democratic Resistance,288,0.62%,,,,,
,,,,,,,,,,
Stone,,William Cash,Conservative,24859,46.84%,68242,3818,77.77%,Conservative Gain,02/05/97 04:25
,,John Wakefield,Labour,21041,39.64%,,,,,
,,Barry Stamp,Liberal Democrat,6392,12.04%,,,,,
,,Ann Winfield,Liberal,545,1.03%,,,,,
,,Dinah Grice,Natural Law,237,0.45%,,,,,
,,,,,,,,,,
Stourbridge,,Debra Shipley,Labour,23452,47.19%,64966,5645,76.50%,Labour Gain,02/05/97 01:21
,,Warren Hawksley,Conservative,17807,35.83%,,,,,
,,Chris Bramall,Liberal Democrat,7123,14.33%,,,,,
,,Peter Quick,Referendum,1319,2.65%,,,,,
,,,,,,,,,,
Strangford,,John Taylor,Ulster Unionist,18431,44.29%,69980,5852,59.47%,Ulster Unionist Hold,02/05/97 13:49
,,Iris Robinson,Democratic Unionist,12579,30.22%,,,,,
,,Kieran McCarthy,Alliance,5467,13.14%,,,,,
,,Peter O'Reilly,Social Democratic and Labour,2775,6.67%,,,,,
,,Gilbert Chalk,Conservative,1743,4.19%,,,,,
,,Garret O'Fachtna,Sinn Féin,503,1.21%,,,,,
,,Sarah Mullins,Natural Law,121,0.29%,,,,,
,,,,,,,,,,
Stratford-on-Avon,,John Maples,Conservative,29967,48.26%,81434,14106,76.26%,Conservative Hold,02/05/97 05:27
,,Susan Juned,Liberal Democrat,15861,25.54%,,,,,
,,Stewart Stacey,Labour,12754,20.54%,,,,,
,,Adrian Hilton,Referendum,2064,3.32%,,,,,
,,JE Spilsbury,United Kingdom Independence,556,0.90%,,,,,
,,James Brewster,Natural Law,307,0.49%,,,,,
,,Simon Marcus,Independent,306,0.49%,,,,,
,,Sarah Miller,People's Labour,284,0.46%,,,,,
,,,,,,,,,,
Strathkelvin and Bearsden,,Sam Galbraith,Labour,26278,52.86%,62974,16292,78.94%,Labour Hold,02/05/97 02:15
,,David Sharpe,Conservative,9986,20.09%,,,,,
,,Graeme McCormick,Scottish National,8111,16.32%,,,,,
,,John Morrison,Liberal Democrat,4843,9.74%,,,,,
,,David Wilson,Referendum,339,0.68%,,,,,
,,Janice Fisher,Natural Law,155,0.31%,,,,,
,,,,,,,,,,
Streatham,,Keith Hill,Labour,28181,62.78%,74509,18423,60.24%,Labour Hold,02/05/97 02:07
,,Ernest Noad,Conservative,9758,21.74%,,,,,
,,Roger O'Brien,Liberal Democrat,6082,13.55%,,,,,
,,Jeremy Wall,Referendum,864,1.92%,,,,,
,,,,,,,,,,
Stretford and Urmston,,Beverley Hughes,Labour,28480,58.49%,69913,13640,69.65%,Labour Hold,02/05/97 01:34
,,John Gregory,Conservative,14840,30.48%,,,,,
,,John Bridges,Liberal Democrat,3978,8.17%,,,,,
,,Caroline Dore,Referendum,1397,2.87%,,,,,
,,,,,,,,,,
Stroud,,David Drew,Labour Co-op,26170,42.66%,77494,2910,79.16%,Labour/Co-operative Gain,02/05/97 03:08
,,Roger Knapman,Conservative,23260,37.92%,,,,,
,,Paul Hodgkinson,Liberal Democrat,9502,15.49%,,,,,
,,John Marjoram,Green,2415,3.94%,,,,,
,,,,,,,,,,
Suffolk Central and North Ipswich,,Michael Lord,Conservative,22493,42.58%,70222,3538,75.22%,Conservative Hold,02/05/97 05:28
,,Carole Jones,Labour,18955,35.88%,,,,,
,,Madeline Goldspink,Liberal Democrat,10886,20.61%,,,,,
,,Stephanie Bennell,Independent,489,0.93%,,,,,
,,,,,,,,,,
Suffolk Coastal,,John Gummer,Conservative,21696,38.57%,74219,3254,75.80%,Conservative Hold,02/05/97 03:47
,,Mark Campbell,Labour,18442,32.78%,,,,,
,,Alexandra Jones,Liberal Democrat,12036,21.40%,,,,,
,,Stephen Caulfield,Referendum,3416,6.07%,,,,,
,,Tony Slade,Green,514,0.91%,,,,,
,,Felicity Kaplan,Natural Law,152,0.27%,,,,,
,,,,,,,,,,
Suffolk South,,Timothy Yeo,Conservative,19402,37.33%,67323,4175,77.20%,Conservative Hold,02/05/97 02:04
,,Paul Bishop,Labour,15227,29.30%,,,,,
,,Kathy Pollard,Liberal Democrat,14395,27.70%,,,,,
,,Somerset Chair,Referendum,2740,5.27%,,,,,
,,Angela Holland,Natural Law,211,0.41%,,,,,
,,,,,,,,,,
Suffolk West,,Richard Spring,Conservative,20081,40.91%,68638,1867,71.51%,Conservative Gain,02/05/97 02:37
,,Michael Jeffreys,Labour,18214,37.11%,,,,,
,,Adrian Graves,Liberal Democrat,6892,14.04%,,,,,
,,James Carver,Referendum,3724,7.59%,,,,,
,,Alistair Shearer,Natural Law,171,0.35%,,,,,
,,,,,,,,,,
Sunderland North,,Bill Etherington,Labour,26067,68.22%,64711,19697,59.05%,Labour Hold,01/05/97 23:45
,,Andrew Selous,Conservative,6370,16.67%,,,,,
,,Geoffrey Pryke,Liberal Democrat,3973,10.40%,,,,,
,,Mark Nicholson,Referendum,1394,3.65%,,,,,
,,Ken Newby,Monster Raving Loony,409,1.07%,,,,,
,,,,,,,,,,
Sunderland South,,Chris Mullin,Labour,27174,68.06%,67937,19638,58.77%,Labour Hold,01/05/97 22:46
,,Tim Schofield,Conservative,7536,18.88%,,,,,
,,John Lennox,Liberal Democrat,4606,11.54%,,,,,
,,MA Wilkinson,United Kingdom Independence,609,1.53%,,,,,
,,,,,,,,,,
Surrey East,,Peter M Ainsworth,Conservative,27389,50.11%,72852,15093,75.02%,Conservative Hold,02/05/97 04:02
,,Belinda Ford,Liberal Democrat,12296,22.50%,,,,,
,,David Ross,Labour,11573,21.17%,,,,,
,,Michael Sydney,Referendum,2656,4.86%,,,,,
,,AB Stone,United Kingdom Independence,569,1.04%,,,,,
,,Susan Bartrum,Natural Law,173,0.32%,,,,,
,,,,,,,,,,
Surrey Heath,,Nick Hawkins,Conservative,28231,51.59%,73813,16287,74.14%,Conservative Hold,02/05/97 02:58
,,David Newman,Liberal Democrat,11944,21.83%,,,,,
,,Susan Jones,Labour,11511,21.03%,,,,,
,,John Gale,Referendum,2385,4.36%,,,,,
,,R Squire,United Kingdom Independence,653,1.19%,,,,,
,,,,,,,,,,
Surrey South West,,Virginia Bottomley,Conservative,25165,44.57%,72350,2694,78.03%,Conservative Hold,02/05/97 03:18
,,Neil Sherlock,Liberal Democrat,22471,39.80%,,,,,
,,Margaret Leicester,Labour,5333,9.45%,,,,,
,,Judith Clementson,Referendum,2830,5.01%,,,,,
,,James Kirby,United Kingdom Independence,401,0.71%,,,,,
,,Josephine Quintavalle,People's Labour,258,0.46%,,,,,
,,,,,,,,,,
Sussex Mid,,Nicholas Soames,Conservative,23231,43.45%,68784,6854,77.73%,Conservative Hold,02/05/97 03:07
,,Margaret Collins,Liberal Democrat,16377,30.63%,,,,,
,,Mervyn Hamilton,Labour,9969,18.65%,,,,,
,,Tam Large,Referendum,3146,5.88%,,,,,
,,JV Barnett,United Kingdom Independence,606,1.13%,,,,,
,,Ernest Tudway,Independent,134,0.25%,,,,,
,,,,,,,,,,
Sutton and Cheam,,Paul Burstow,Liberal Democrat,19919,42.30%,62785,2097,75.01%,Liberal Democrat Gain,02/05/97 02:22
,,Olga Maitland,Conservative,17822,37.85%,,,,,
,,Mark Allison,Labour,7280,15.46%,,,,,
,,Peter Atkinson,Referendum,1784,3.79%,,,,,
,,Simon McKie,United Kingdom Independence,191,0.41%,,,,,
,,Deborah Wright,Natural Law,96,0.20%,,,,,
,,,,,,,,,,
Sutton Coldfield,,Norman Fowler,Conservative,27373,52.24%,71864,14885,72.92%,Conservative Hold,02/05/97 03:00
,,Alan York,Labour,12488,23.83%,,,,,
,,Jim Whorwood,Liberal Democrat,10139,19.35%,,,,,
,,Douglas Hope,Referendum,2401,4.58%,,,,,
,,,,,,,,,,
Swansea East,,Donald Anderson,Labour,29151,75.38%,57373,25569,67.41%,Labour Hold,02/05/97 02:03
,,Catherine Dibble,Conservative,3582,9.26%,,,,,
,,Elwyn Jones,Liberal Democrat,3440,8.89%,,,,,
,,Michelle Pooley,Plaid Cymru,1308,3.38%,,,,,
,,Catherine Maggs,Referendum,904,2.34%,,,,,
,,Ronnie Job,Socialist,289,0.75%,,,,,
,,,,,,,,,,
Swansea West,,Alan Williams,Labour,22748,56.21%,58703,14459,68.94%,Labour Hold,02/05/97 02:05
,,Andrew Baker,Conservative,8289,20.48%,,,,,
,,John Newbury,Liberal Democrat,5872,14.51%,,,,,
,,Dai Lloyd,Plaid Cymru,2675,6.61%,,,,,
,,David Proctor,Socialist Labour,885,2.19%,,,,,
,,,,,,,,,,
Swindon North,,Michael Wills,Labour,24029,49.78%,65535,7688,73.66%,Labour Gain,02/05/97 03:19
,,Guy Opperman,Conservative,16341,33.85%,,,,,
,,Mike Evemy,Liberal Democrat,6237,12.92%,,,,,
,,Gillian Goldsmith,Referendum,1533,3.18%,,,,,
,,Alexander Fisken,Natural Law,130,0.27%,,,,,
,,,,,,,,,,
Swindon South,,Julia Drown,Labour,23943,46.80%,70207,5645,72.87%,Labour Gain,02/05/97 03:00
,,Simon Coombs,Conservative,18298,35.76%,,,,,
,,Stanley Pajak,Liberal Democrat,7371,14.41%,,,,,
,,David Mackintosh,Referendum,1273,2.49%,,,,,
,,Richard Charman,Independent,181,0.35%,,,,,
,,Keith Buscombe,Natural Law,96,0.19%,,,,,
,,,,,,,,,,
Tamworth,,Brian Jenkins,Labour,25808,51.77%,67205,7496,74.18%,Labour Gain,02/05/97 03:26
,,Ann Lightbown,Conservative,18312,36.73%,,,,,
,,Jennifer Pinkett,Liberal Democrat,4025,8.07%,,,,,
,,Dianne Livesey,Referendum,1163,2.33%,,,,,
,,Christopher Lamb,United Kingdom Independence,369,0.74%,,,,,
,,Catherine Twelvetrees,Liberal,177,0.36%,,,,,
,,,,,,,,,,
Tatton,,Martin Bell,Independent,29354,60.16%,63822,11077,76.45%,Independent Gain,02/05/97 02:43
,,Neil Hamilton,Conservative,18277,37.46%,,,,,
,,Sam Hill,Independent,295,0.60%,,,,,
,,Simon Kinsey,Independent,187,0.38%,,,,,
,,Burnel Penhaul,Independent,128,0.26%,,,,,
,,John Muir,Independent,126,0.26%,,,,,
,,Michael Kennedy,Natural Law,123,0.25%,,,,,
,,David Bishop,Independent,116,0.24%,,,,,
,,Ralph Nicholas,Independent,113,0.23%,,,,,
,,Julian Price,Independent,73,0.15%,,,,,
,,,,,,,,,,
Taunton,,Jackie M Ballard,Liberal Democrat,26064,42.72%,79783,2443,76.47%,Liberal Democrat Gain,02/05/97 02:57
,,David Nicholson,Conservative,23621,38.72%,,,,,
,,Libby Lisgo,Labour,8248,13.52%,,,,,
,,Brian Ahern,Referendum,2760,4.52%,,,,,
,,Leslie Andrews,British National,318,0.52%,,,,,
,,,,,,,,,,
Tayside North,,John Swinney,Scottish National,20447,44.85%,61398,4160,74.25%,Scottish National Gain,02/05/97 02:11
,,Bill Walker,Conservative,16287,35.72%,,,,,
,,Ian McFatridge,Labour,5141,11.28%,,,,,
,,Peter Regent,Liberal Democrat,3716,8.15%,,,,,
,,,,,,,,,,
Teignbridge,,Patrick Nicholls,Conservative,24679,39.21%,81667,281,77.08%,Conservative Hold,02/05/97 05:03
,,Richard Younger-Ross,Liberal Democrat,24398,38.76%,,,,,
,,Sue Dann,Labour,11311,17.97%,,,,,
,,S Stokes,United Kingdom Independence,1601,2.54%,,,,,
,,Nick Banwell,Green,817,1.30%,,,,,
,,Lorraine Golding,Rainbow Dream Ticket,139,0.22%,,,,,
,,,,,,,,,,
Telford,,Bruce Grocott,Labour,21456,57.81%,56558,11290,65.62%,Labour Gain,02/05/97 03:57
,,Bernard Gentry,Conservative,10166,27.39%,,,,,
,,Nathaniel Green,Liberal Democrat,4371,11.78%,,,,,
,,Christopher Morris,Referendum,1119,3.02%,,,,,
,,,,,,,,,,
Tewkesbury,,Laurence Robertson,Conservative,23859,45.75%,68208,9234,76.46%,Conservative Gain,02/05/97 05:04
