UK General Election Results 1997,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%Share,Electorate,Majority,Turnout,Status,Declaration
,,Clive Lord,Green,384,0.82%,,,,,
,,,,,,,,,,
Battersea,,Martin Linton,Labour,24047,50.74%,66928,5360,70.82%,Labour Gain,02/05/97 00:57
,,John Bowis,Conservative,18687,39.43%,,,,,
,,Paula Keaveney,Liberal Democrat,3482,7.35%,,,,,
,,Mark Slater,Referendum,804,1.70%,,,,,
,,Ashley Banks,United Kingdom Independence,250,0.53%,,,,,
,,Joseph Marshall,Rainbow Dream Ticket,127,0.27%,,,,,
,,,,,,,,,,
Beaconsfield,,Dominic Grieve,Conservative,24709,49.22%,68959,13987,72.80%,Conservative Hold,02/05/97 04:47
,,Peter Mapp,Liberal Democrat,10722,21.36%,,,,,
,,Alastair Hudson,Labour,10063,20.05%,,,,,
,,Humphrey Lloyd,Referendum,2197,4.38%,,,,,
,,Christopher Story,Independent,1434,2.86%,,,,,
,,Christopher Cooke,United Kingdom Independence,451,0.90%,,,,,
,,Gillian Duval,People's Labour,286,0.57%,,,,,
,,Tom Dyball,Natural Law,193,0.38%,,,,,
,,Robert Matthews,Independent,146,0.29%,,,,,
,,,,,,,,,,
Beckenham,,Piers Merchant,Conservative,23084,42.47%,72807,4953,74.65%,Conservative Hold,02/05/97 02:59
,,Robert Hughes,Labour,18131,33.36%,,,,,
,,Rosemary Elizabeth Vetterlein,Liberal Democrat,9858,18.14%,,,,,
,,Leonard Mead,Referendum,1663,3.06%,,,,,
,,Phil Rimmer,Liberal,720,1.32%,,,,,
,,C Pratt,United Kingdom Independence,506,0.93%,,,,,
,,John McAuley,National Front,388,0.71%,,,,,
,,,,,,,,,,
Bedford,,Patrick Hall,Labour,24774,50.62%,66560,8300,73.53%,Labour Gain,02/05/97 01:46
,,Robert Blackman,Conservative,16474,33.66%,,,,,
,,Christopher Noyce,Liberal Democrat,6044,12.35%,,,,,
,,Peter Conquest,Referendum,1503,3.07%,,,,,
,,Patricia Saunders,Natural Law,149,0.30%,,,,,
,,,,,,,,,,
Bedfordshire Mid,,Jonathan Sayeed,Conservative,24176,46.04%,66979,7090,78.41%,Conservative Hold,02/05/97 04:22
,,Neil Mallett,Labour,17086,32.53%,,,,,
,,Tim Hill,Liberal Democrat,8823,16.80%,,,,,
,,Shirley Marler,Referendum,2257,4.30%,,,,,
,,Marek Lorys,Natural Law,174,0.33%,,,,,
,,,,,,,,,,
Bedfordshire South West,,David Madel,Conservative,21534,40.73%,69781,132,75.76%,Conservative Hold,02/05/97 05:22
