General election results 2010,,,Party,Votes,Share,*lost deposit,change since 2005,
, ,"Wilcock, P.A.",LD,14'913,27.4,,-,2.2
, ,"Light, B.A. Ms.",Lab,5'288,9.7,,-,4.5
, ,"Lord, R.G.",UKIP,2'228,4.1,*,+,1.4
, ,"Mitchell, C.M. Ms.",BNP,1'050,1.9,*,, 
, ,"Hossain, R.",GRN,735,1.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,15'242,28,, , 
St. Albans [490],70'058,75.4,"Main, A.M. Ms.*",Con,21'533,40.8,,+,3.5
, ,"Walkington, A.S.B.",LD,19'228,36.4,,+,11
, ,"Mills, R.A.C. Ms.",Lab,9'288,17.6,,-,16.7
, ,"Stocker, J.F.",UKIP,2'028,3.8,*,+,2.3
, ,"Easton, J.E.",GRN,758,1.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,2'305,4.4,, , 
St. Austell and Newquay [491],75'284,62.7,"Gilbert, S.D.J.",LD,20'189,42.7,,-,4.5
, ,"Righton, C.A. Ms.",Con,18'877,40,,+,5.1
, ,"Jameson, L.C.",Lab,3'386,7.2,,-,6.6
, ,"Cole, R.M.",MK,2'007,4.2,*,, 
, ,"Medway, C.",UKIP,1'757,3.7,*,-,0.4
, ,"Fitton, J.",BNP,1'022,2.2,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,1'312,2.8,, , 
St. Helens North [492],74'985,59.4,"Watts, D.L.*",Lab,23'041,51.7,,-,5.6
, ,"Greenall, P.V.",Con,9'940,22.3,,+,3.5
, ,"Beirne, J.",LD,8'992,20.2,,-,0.7
, ,"Robinson, G.",UKIP,2'100,4.7,*,+,1.8
, ,"Whatham, S.B.",Soc Lab,483,1.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,13'101,29.4,, , 
St. Helens South and Whiston [493],77'975,59.1,"Woodward, S.A.*",Lab,24'364,52.9,,-,2.7
, ,"Spencer, B.T.",LD,10'242,22.2,,-,6.6
, ,"Allen, V.M. Ms.",Con,8'209,17.8,,+,5.7
, ,"Winstanley, J.T.",BNP,2'040,4.4,*,, 
, ,"Sumner, J.P.",UKIP,1'226,2.7,*,+,0.8
, , , ,-----,---,, , 
2005: Lab,, , ,14'122,30.6,, , 
St. Ives [494],66'944,68.6,"George, A.H.*",LD,19'619,42.7,,-,9.1
, ,"Thomas, D.G.",Con,17'900,39,,+,11.7
, ,"Latimer, P.J. Ms.",Lab,3'751,8.2,,-,4.4
, ,"Faulkner, M.P.",UKIP,2'560,5.6,,+,1.3
, ,"Andrewes, T.H.",GRN,1'308,2.8,*,-,1.1
, ,"Rogers, J.C.",Cor D,396,0.9,*,, 
, ,"Reed, S.J.",MK,387,0.8,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,1'719,3.7,, , 
Salford and Eccles [495],75'483,55,"Blears, H.A. Ms.*",Lab,16'655,40.1,,-,15.3
, ,"Owen, N.J.",LD,10'930,26.3,,+,3.5
, ,"Sephton, M.J.",Con,8'497,20.5,,+,3.6
, ,"Wingfield, T.D. Ms.",BNP,2'632,6.3,, , 
, ,"O'Dwyer, D.B.",UKIP,1'084,2.6,*,-,2.3
, ,"Henry, D.",TUSC,730,1.8,*,, 
, ,"Morris, S.",ED,621,1.5,*,, 
, ,"Carvath, R.",Ind,384,0.9,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'725,13.8,, , 
Salisbury [496],67'430,71.9,"Glen, J.P.",Con,23'859,49.2,,+,2.8
, ,"Radford, N.M.H.",LD,17'893,36.9,,+,10
, ,"Gann, T.G.",Lab,3'690,7.6,,-,11
, ,"Howard, F.M. Ms.",UKIP,1'392,2.9,*,-,1.3
, ,"Witheridge, S.",BNP,765,1.6,*,, 
, ,"Startin, N.J.",GRN,506,1,*,-,2.4
, ,"Pendragon, A.U.",Ind,257,0.5,*,, 
, ,"Holme, J.",Ind,119,0.2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,5'966,12.3,, , 
Scarborough and Whitby [497],75'470,65.3,"Goodwill, R.*",Con,21'108,42.8,,+,1.8
, ,"David, A. Ms.",Lab,12'978,26.3,,-,12
, ,"Exley-Moore, T.C. Ms.",LD,11'093,22.5,,+,6.5
, ,"James, M.J.",UKIP,1'484,3,*,+,1
, ,"Scott, P.A. Ms.",BNP,1'445,2.9,*,, 
, ,"Cluer, D.V. Ms.",GRN,734,1.5,*,-,1.1
, ,"Popple, P.G.",Ind,329,0.7,*,, 
, ,"Boddington, J.M. Ms.",AGS,111,0.2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,8'130,16.5,, , 
Scunthorpe [498],63'089,58.7,"Dakin, N.",Lab,14'640,39.5,,-,12.5
, ,"Johnson, C.E. Ms.",Con,12'091,32.6,,+,5.8
, ,"Poole, N.",LD,6'774,18.3,,+,1.2
, ,"Collins, J.M. Ms.",UKIP,1'686,4.6,*,+,0.5
, ,"Ward, D.N.",BNP,1'447,3.9,*,, 
, ,"Hurst, N. Ms.",GRN,396,1.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,2'549,6.9,, , 
Sedgefield [499],64'728,62.1,"Wilson, P.*",Lab,18'141,45.1,,-,13.9
, ,"Mahapatra, N.",Con,9'445,23.5,,+,9.3
, ,"Thompson, A.",LD,8'033,20,,+,8.2
, ,"Walker, M.",BNP,2'075,5.2,, , 
, ,"Gregory, B.J.",UKIP,1'479,3.7,*,+,2.1
, ,"Gittins, P.S.",ND,1'049,2.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,8'696,21.6,, , 
Sefton Central [500],67'511,71.8,"Esterson, B.",Lab,20'307,41.9,,-,3.7
, ,"Jones, D. Ms.",Con,16'445,33.9,,+,0.4
, ,"Clein, R.",LD,9'656,19.9,,+,0.7
, ,"Harper, P.J.",UKIP,2'055,4.2,*,+,3.5
, , , ,-----,---,, , 
2005: Lab,, , ,3'862,8,, , 
Selby and Ainsty [501],72'804,71.1,"Adams, N.",Con,25'562,49.4,,+,2.3
, ,"Marshall, J. Ms.",Lab,13'297,25.7,,-,17.1
, ,"Holvey, T.",LD,9'180,17.7,,+,7.7
, ,"Haley, D.",UKIP,1'635,3.2,*,, 
, ,"Lorriman, D.",BNP,1'377,2.7,*,, 
, ,"Glynn, G.M.",ED,677,1.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,12'265,23.7,, , 
Sevenoaks [502],69'591,71,"Fallon, M.C.*",Con,28'076,56.8,,+,5.5
, ,"Bullion, A.J.",LD,10'561,21.4,,-,0.8
, ,"Siddorn, G.J.",Lab,6'541,13.2,,-,8
, ,"Heath, C.D.L.",UKIP,1'782,3.6,*,+,0.6
, ,"Golding, P.A.",BNP,1'384,2.8,*,, 
, ,"Uncles, L.A. Ms.",ED,806,1.6,*,, 
, ,"Ellis, M.C.",Ind,258,0.5,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,17'515,35.4,, , 
Sheffield Brightside and Hillsborough [503],67'740,57.4,"Blunkett, D.*",Lab,21'400,55,,-,14.6
, ,"Harston, J.G.",LD,7'768,20,,+,6.9
, ,"Sharp, J.",Con,4'468,11.5,,+,1.7
, ,"Sheldon, J.",BNP,3'026,7.8,,+,3.2
, ,"Sullivan, P. Ms.",UKIP,1'596,4.1,*,+,1.1
, ,"Bowler, M.",TUSC,656,1.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,13'632,35,, , 
Sheffield Central [504],67'554,61.4,"Blomfield, P.",Lab,17'138,41.3,,-,5.2
, ,"Scriven, P.J.",LD,16'973,40.9,,+,9.5
, ,"Lee, A.",Con,4'206,10.1,,+,1
, ,"Creasy, J. Ms.",GRN,1'556,3.8,*,-,2
, ,"Smith, T. Ms.",BNP,903,2.2,*,+,0.6
, ,"Shaw, J.S.",UKIP,652,1.6,*,-,0.1
, ,"Rodgers, R.",Ind,40,0.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,165,0.4,, , 
Sheffield Hallam [505],68'798,74.3,"Clegg, N.*",LD,27'324,53.4,,+,7.1
, ,"Bates, N.S. Ms.",Con,12'040,23.5,,-,6.6
, ,"Scott, J.",Lab,8'228,16.1,,-,1.7
, ,"James, N.T.",UKIP,1'195,2.3,*,+,1
, ,"Barnard, S.",GRN,919,1.8,*,-,0.8
, ,"Wildgoose, D.B.",ED,586,1.1,*,, 
, ,"Fitzpatrick, M.",Ind,429,0.8,*,, 
, ,"Green, R.",Ch P,250,0.5,*,, 
, ,"Adshead, M.S.",MRLP,164,0.3,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,15'284,29.9,, , 
Sheffield Heeley [506],65'571,62.3,"Munn, M. Ms.*",Lab,17'409,42.6,,-,11.5
, ,"Clement-Jones, S.W.",LD,11'602,28.4,,+,7
, ,"Crampton, A. Ms.",Con,7'081,17.3,,+,3
, ,"Beatson, J.W.",BNP,2'260,5.5,,+,2.1
, ,"Arnott, C.E. Ms.",UKIP,1'530,3.7,*,+,1.4
, ,"Roberts, G.",GRN,989,2.4,*,-,1.2
, , , ,-----,---,, , 
2005: Lab,, , ,5'807,14.2,, , 
Sheffield South East [507],67'068,61.7,"Betts, C.J.C.*",Lab,20'169,48.7,,-,11.6
, ,"Smith, G. Ms.",LD,9'664,23.3,,+,6.4
, ,"Bonson, N.S.",Con,7'202,17.4,,+,3
, ,"Hartigan, C.N.",BNP,2'345,5.7,,+,1.6
, ,"Arnott, J.W.",UKIP,1'889,4.6,*,+,0.2
, ,"Andrew, S.J.",Comm,139,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,10'505,25.4,, , 
Sherwood [508],71'443,68.5,"Spencer, M.",Con,19'211,39.2,,+,5.8
, ,"Oldknow, E.A. Ms.",Lab,18'997,38.8,,-,10.6
, ,"Moore, K.",LD,7'283,14.9,,+,1.4
, ,"North, J.D.",BNP,1'754,3.6,*,, 
, ,"Parker, M. Ms.",UKIP,1'490,3,*,-,0.7
, ,"Swan, R.",Ind,219,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,214,0.4,, , 
Shipley [509],67'689,73,"Davies, P.A.*",Con,24'002,48.6,,+,9.7
, ,"Hinchcliffe, S.K. Ms.",Lab,14'058,28.4,,-,9.4
, ,"Harris, J.P.R.",LD,9'890,20,,+,4.8
, ,"Warnes, K.R.",GRN,1'477,3,*,-,0.4
, , , ,-----,---,, , 
2005: Con,, , ,9'944,20.1,, , 
Shrewsbury and Atcham [510],75'446,70.3,"Kawczynski, D.R.*",Con,23'313,43.9,,+,6.3
, ,"West, C.A.",LD,15'369,29,,+,6.1
, ,"Tandy, J.",Lab,10'915,20.6,,-,13.5
, ,"Lewis, P.M.",UKIP,1'627,3.1,*,+,0.4
, ,"Whittall, J.",BNP,1'168,2.2,*,, 
, ,"Whittaker, J.A.",GRN,565,1.1,*,-,1.2
, ,"Gollins, J.G.",Impact,88,0.2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,7'944,15,, , 
Shropshire North [511],78'930,65.7,"Paterson, O.W.*",Con,26'692,51.5,,+,1.9
, ,"Croll, I.P.",LD,10'864,20.9,,+,1.2
, ,"McLaughlan, I.P.",Lab,9'406,18.1,,-,7.8
, ,"List, S.A. Ms.",UKIP,2'432,4.7,*,-,0.1
, ,"Reddall, P.R.",BNP,1'667,3.2,*,, 
, ,"Boulding, S.C.",GRN,808,1.6,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,15'828,30.5,, , 
Sittingbourne and Sheppey [512],75'855,64,"Henderson, G.",Con,24'313,50,,+,8.3
, ,"Harrison, A. Ms.",Lab,11'930,24.6,,-,17.1
, ,"Nevols, K.S.",LD,7'943,16.4,,+,3.6
, ,"Davison, I.J.",UKIP,2'610,5.4,,+,3.1
, ,"Tames, L.A.",BNP,1'305,2.7,*,, 
, ,"Young, M.J.",MRLP,319,0.7,*,, 
, ,"Cassidy, D.P.",Ind,158,0.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,12'383,25.5,, , 
Skipton and Ripon [513],77'381,70.7,"Smith, J.R.",Con,27'685,50.6,,+,0.6
, ,"Flynn, H.C. Ms.",LD,17'735,32.4,,+,5.8
, ,"Hazelgrove, C. Ms.",Lab,5'498,10,,-,8.2
, ,"Mills, J.R.",UKIP,1'909,3.5,*,-,1.1
, ,"Allen, B.A.",BNP,1'403,2.6,*,, 
, ,"Bell, R.A.",Ind,315,0.6,*,, 
, ,"Gilligan, D.",Youth,95,0.2,*,, 
, ,"Leakey, R.D.",VCCA,84,0.2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,9'950,18.2,, , 
Sleaford and North Hykeham [514],84'806,70.2,"Phillips, S.J.",Con,30'719,51.6,,+,1
, ,"Harding-Price, D.",LD,10'814,18.2,,+,0.1
, ,"Normington, J.A.",Lab,10'051,16.9,,-,9.5
, ,"Overton, M.J. Ms.",LIND,3'806,6.4,, , 
, ,"Doughty, R.",UKIP,2'163,3.6,*,-,1.3
, ,"Clayton, M.P.",BNP,1'977,3.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,19'905,33.4,, , 
Slough [515],77'473,61.6,"Mactaggart, F.M. Ms.*",Lab,21'884,45.8,,-,0.4
, ,"Coad, D. Ms.",Con,16'361,34.3,,+,7.9
, ,"Tucker, C.",LD,6'943,14.5,,-,2.2
, ,"Mason-Apps, P.W.",UKIP,1'517,3.2,*,-,0.5
, ,"Kennet, M.F. Ms.",GRN,542,1.1,*,-,0.9
, ,"Chaudhary, S.",Ch P,495,1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'523,11.6,, , 
Solihull [516],76'288,72.3,"Burt, L. Ms.*",LD,23'635,42.9,,+,3.5
, ,"Throup, M.A. Ms.",Con,23'460,42.6,,+,2.9
, ,"Merrill, S. Ms.",Lab,4'891,8.9,,-,6.7
, ,"Terry, A.",BNP,1'624,2.9,*,-,0.5
, ,"Ison, J.P.",UKIP,1'200,2.2,*,+,0.3
, ,"Watts, N.J.",SMRA,319,0.6,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,175,0.3,, , 
Somerset North [517],77'306,75,"Fox, L.*",Con,28'549,49.3,,+,7.5
, ,"Mathew, B.",LD,20'687,35.7,,+,5.5
, ,"Parry-Hearn, S.C.",Lab,6'448,11.1,,-,10.6
, ,"Taylor, S.E. Ms.",UKIP,2'257,3.9,*,+,1.4
, , , ,-----,---,, , 
2005: Con,, , ,7'862,13.6,, , 
Somerset North East [518],67'881,75.4,"Rees-Mogg, J.W.",Con,21'130,41.3,,+,2.2
, ,"Norris, D.*",Lab,16'216,31.7,,-,7
, ,"Coleshill, G.M. Ms.",LD,11'433,22.3,,+,2.7
, ,"Sandell, P.G.",UKIP,1'754,3.4,*,+,1.2
, ,"Jay, M.E.",GRN,670,1.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,4'914,9.6,, , 
Somerton and Frome [519],81'548,74.3,"Heath, D.W.S.*",LD,28'793,47.5,,+,3.8
, ,"Rees-Mogg, A.M. Ms.",Con,26'976,44.5,,+,1.9
, ,"Oakensen, D.A.",Lab,2'675,4.4,*,-,6.4
, ,"Harding, B.F.",UKIP,1'932,3.2,*,+,1.3
, ,"Warry, T.N.",ILEU,236,0.4,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,1'817,3,, , 
South Holland and The Deepings [520],76'243,65.8,"Hayes, J.H.*",Con,29'639,59.1,,+,2.1
, ,"Conroy, J.E. Ms.",LD,7'759,15.5,,+,2.6
, ,"Gould, G.D.",Lab,7'024,14,,-,10.5
, ,"Fairman, R.G.",UKIP,3'246,6.5,,+,2.5
, ,"Harban, R.",BNP,1'796,3.6,*,, 
, ,"Baxter, A.J.",GRN,724,1.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,21'880,43.6,, , 
South Ribble [521],75'822,67.9,"Fullbrook, L. Ms.",Con,23'396,45.5,,+,6.6
, ,"Borrow, D.S.*",Lab,17'842,34.7,,-,9.6
, ,"Fisher, P.",LD,7'271,14.1,,-,0.6
, ,"Duxbury, D.T.",UKIP,1'895,3.7,*,+,1.5
, ,"Gauci, R.C. Ms.",BNP,1'054,2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'554,10.8,, , 
South Shields [522],64'084,57,"Miliband, D.*",Lab,18'995,52,,-,8.8
, ,"Allen, K. Ms.",Con,7'886,21.6,,+,4
, ,"Psallidas, S.A.",LD,5'189,14.2,,-,5
, ,"Watson, D. Ms.",BNP,2'382,6.5,, , 
, ,"Ford, S.F. Ms.",GRN,762,2.1,*,, 
, ,"Kaikavoosi, S.",Ind,729,2,*,, 
, ,"Thompson, V.",ND,316,0.9,*,, 
, ,"Navabi, S.",Ind,168,0.5,*,, 
, ,"Nettleship, R.",FAWG,91,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,11'109,30.4,, , 
Southampton Itchen [523],74'532,59.6,"Denham, J.Y.*",Lab,16'326,36.8,,-,11.5
, ,"Smith, R.M.",Con,16'134,36.3,,+,9
, ,"Goodall, D.I.",LD,9'256,20.8,,+,0.1
, ,"Kebbell, A.J.",UKIP,1'928,4.3,*,+,0.6
, ,"Spottiswoode, J.C.T.",GRN,600,1.4,*,, 
, ,"Cutter, T.G.F.",TUSC,168,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,192,0.4,, , 
Southampton Test [524],71'931,61.4,"Whitehead, A.P.V.*",Lab,17'001,38.5,,-,5.7
, ,"Moulton, J.R.",Con,14'588,33,,+,8
, ,"Callaghan, D.J.",LD,9'865,22.3,,-,1.8
, ,"Hingston, P. Ms.",UKIP,1'726,3.9,*,+,0.9
, ,"Bluemel, C.F.",GRN,881,2,*,-,1.6
, ,"Sanderson, C.R.",Ind,126,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,2'413,5.5,, , 
Southend West [525],66'918,65.2,"Amess, D.A.A.*",Con,20'086,46.1,,-,0.1
, ,"Welch, P.",LD,12'816,29.4,,+,5.4
, ,"Flynn, T.",Lab,5'850,13.4,,-,9.2
, ,"Cockrill, G.L.",UKIP,1'714,3.9,*,+,0.5
, ,"Gladwin, T.",BNP,1'333,3.1,*,, 
, ,"Bolton, B.G.",GRN,644,1.5,*,, 
, ,"Vel, D.",Ind,617,1.4,*,, 
, ,"Phillips, T.",ED,546,1.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,7'270,16.7,, , 
Southport [526],67'200,65.1,"Pugh, J.D.*",LD,21'707,49.6,,+,3.3
, ,"Porter, B. Ms.",Con,15'683,35.8,,-,1.2
, ,"Conalty, J.",Lab,4'116,9.4,,-,3.4
, ,"Durrance, T.J.",UKIP,2'251,5.1,,+,3.3
, , , ,-----,---,, , 
2005: LD,, , ,6'024,13.8,, , 
Spelthorne [527],70'479,67.1,"Kwarteng, K.A.A.",Con,22'261,47.1,,-,3.4
, ,"Chapman, M.R.",LD,12'242,25.9,,+,8.8
, ,"Tyler-Moore, A.",Lab,7'789,16.5,,-,10.8
, ,"Browne, C.A.",UKIP,4'009,8.5,,+,3.9
, ,"Swinglehurst, I.A.",Ind,314,0.7,*,, 
, ,"Littlewood, H.R.A.",Best,244,0.5,*,, 
, ,"Couchman, P.D.",TUSC,176,0.4,*,, 
, ,"Gore, J.S.",CIP,167,0.4,*,, 
, ,"Leon-Smith, G.",IFED,102,0.2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,10'019,21.2,, , 
Stafford [528],70'667,71.1,"Lefroy, J.",Con,22'047,43.9,,+,4.7
, ,"Kidney, D.N.*",Lab,16'587,33,,-,10.2
, ,"Stamp, B.",LD,8'211,16.3,,+,2
, ,"Goode, R.",UKIP,1'727,3.4,*,+,0.1
, ,"Hynd, R.T.",BNP,1'103,2.2,*,, 
, ,"Shone, M.",GRN,564,1.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'460,10.9,, , 
Staffordshire Moorlands [529],62'137,70.5,"Bradley, K.A. Ms.",Con,19'793,45.2,,+,5.4
, ,"Atkins, C.J.S. Ms.*",Lab,13'104,29.9,,-,6
, ,"Jebb, H.W.G.",LD,7'338,16.7,,-,0.8
, ,"Povey, S.F.",UKIP,3'580,8.2,,+,1.4
, , , ,-----,---,, , 
2005: Con,, , ,6'689,15.3,, , 
Staffordshire South [530],73'849,68.3,"Williamson, G.A.",Con,26'834,53.2,,+,2.5
, ,"McElduff, K.D.",Lab,10'244,20.3,,+,0.3
, ,"Fellows, S.J. Ms.",LD,8'427,16.7,,+,3.3
, ,"Nattrass, M.",UKIP,2'753,5.5,,-,4.7
, ,"Bradnock, D.",BNP,1'928,3.8,*,, 
, ,"Morris, A.G.",Ind,254,0.5,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,16'590,32.9,, , 
Stalybridge and Hyde [531],69'081,59.2,"Reynolds, J.",Lab,16'189,39.6,,-,10.1
, ,"Adlard, R.",Con,13'445,32.9,,+,6.8
, ,"Potter, J.J.",LD,6'965,17,,+,1.4
, ,"Jones, A.D.",BNP,2'259,5.5,,+,1.6
, ,"Cooke, J.",UKIP,1'342,3.3,*,+,1.6
, ,"Bergan, R. Ms.",GRN,679,1.7,*,-,1.4
, , , ,-----,---,, , 
2005: Lab,, , ,2'744,6.7,, , 
Stevenage [532],68'937,64.8,"McPartland, S.A.",Con,18'491,41.4,,+,6.4
, ,"Taylor, S.J. Ms.",Lab,14'913,33.4,,-,9.7
, ,"Davies, J.M. Ms.",LD,7'432,16.6,,-,1.7
, ,"Mason, M.A. Ms.",UKIP,2'004,4.5,*,+,1.4
, ,"Green, M.A.",BNP,1'007,2.3,*,, 
, ,"Vickers, C.J.",ED,366,0.8,*,, 
, ,"Phillips, S.J.",NCDV,327,0.7,*,, 
, ,"Cox, D.",Ind,80,0.2,*,, 
, ,"Ralph, A.J.",YRDPL,31,0.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'578,8,, , 
Stirling [533],66'080,70.9,"McGuire, A.C. Ms.*",Lab,19'558,41.8,,+,5.8
, ,"Dalrymple, R.H.",Con,11'254,24,,-,1.1
, ,"Lindsay, A.J. Ms.",SNP,8'091,17.3,,+,4.7
, ,"Reed, G.R.",LD,6'797,14.5,,-,6.2
, ,"Ruskell, M.C.",GRN,746,1.6,*,-,1.4
, ,"Henke, W.P.",UKIP,395,0.8,*,+,0.4
, , , ,-----,---,, , 
2005: Lab,, , ,8'304,17.7,, , 
Stockport [534],62'879,62.2,"Coffey, A. Ms.*",Lab,16'697,42.7,,-,9.6
, ,"Holland, S.A.",Con,9'913,25.3,,+,1.8
, ,"Bodsworth, S.A.",LD,9'778,25,,+,3.6
, ,"Warner, D.N.",BNP,1'201,3.1,*,, 
, ,"Kelly, M.",UKIP,862,2.2,*,-,0.6
, ,"Barber, P.J.",GRN,677,1.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'784,17.3,, , 
Stockton North [535],66'752,59.2,"Cunningham, A.",Lab,16'923,42.8,,-,12
, ,"Galletley, I.P.",Con,10'247,25.9,,+,4.7
, ,"Latham, P.R.",LD,6'342,16.1,,-,2.6
, ,"Macpherson, J.S.",BNP,1'724,4.4,*,+,1.8
, ,"Cook, F.*",Ind,1'577,4,*,, 
, ,"Parkin, G.H.",UKIP,1'556,3.9,*,+,1.2
, ,"Saul, I.",ED,1'129,2.9,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'676,16.9,, , 
Stockton South [536],73'840,68.1,"Wharton, J.S.",Con,19'577,38.9,,+,4.7
, ,"Taylor, D.J. Ms.*",Lab,19'245,38.3,,-,9.4
, ,"Bell, J.D. Ms.",LD,7'600,15.1,,-,1
, ,"Sinclair, W.N.",BNP,1'553,3.1,*,, 
, ,"Braney, P.B.T.",UKIP,1'471,2.9,*,+,0.9
, ,"Hossack, Y. Ms.",Ind,536,1.1,*,, 
, ,"Strike, E.A.",Ch P,302,0.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,332,0.7,, , 
Stoke-on-Trent Central [537],61'003,53.2,"Hunt, T.J.W.",Lab,12'605,38.8,,-,13.6
, ,"Redfern, J.P.",LD,7'039,21.7,,+,3.1
, ,"Bhatti, N. Ms.",Con,6'833,21,,+,3.7
, ,"Darby, S.",BNP,2'502,7.7,,+,0.1
, ,"Lovatt, C. Ms.",UKIP,1'402,4.3,*,+,1.1
, ,"Breeze, P.D.",Ind,959,3,*,, 
, ,"Elsby, G.",ND,399,1.2,*,, 
, ,"Ward, B.",CITY,303,0.9,*,, 
, ,"Walker, N.A.",Ind,295,0.9,*,, 
, ,"Wright, M.S.",TUSC,133,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'566,17.1,, , 
Stoke-on-Trent North [538],72'054,55.8,"Walley, J.L. Ms.*",Lab,17'815,44.3,,-,11.5
, ,"Large, A.W.",Con,9'580,23.8,,+,6
, ,"Fisher, J.M.",LD,7'120,17.7,,+,4.2
, ,"Baddeley, M.J. Ms.",BNP,3'196,8,,+,2
, ,"Locke, G.L.E.",UKIP,2'485,6.2,,+,2.1
, , , ,-----,---,, , 
2005: Lab,, , ,8'235,20.5,, , 
Stoke-on-Trent South [539],68'032,58.6,"Flello, R.C.D.*",Lab,15'446,38.8,,-,8.1
, ,"Rushton, J.S.",Con,11'316,28.4,,+,4.2
, ,"Ali, Z.",LD,6'323,15.9,,+,0.8
, ,"Coleman, M.",BNP,3'762,9.4,,+,0.4
, ,"Barlow, M.H.",UKIP,1'363,3.4,*,+,0.7
, ,"Follows, T.",SIG,1'208,3,*,, 
, ,"Breeze, M.",Ind,434,1.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'130,10.4,, , 
Stone [540],67'062,70.4,"Cash, B.*",Con,23'890,50.6,,+,2.2
, ,"Tinker, C.M. Ms.",LD,10'598,22.4,,+,3.8
, ,"Lewis, J. Ms.",Lab,9'770,20.7,,-,9
, ,"Illsley, A.",UKIP,2'481,5.3,,+,2
, ,"Hoppe, D.L.",GRN,490,1,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,13'292,28.1,, , 
Stourbridge [541],69'637,67.8,"James, M. Ms.",Con,20'153,42.7,,+,3.4
, ,"Waltho, L. Ms.*",Lab,14'989,31.7,,-,10.4
, ,"Bramall, C.A.",LD,7'733,16.4,,+,0.4
, ,"Westrop, M. Ms.",UKIP,2'103,4.5,*,+,1.8
, ,"Weale, R.",BNP,1'696,3.6,*,, 
, ,"Duckworth, W.",GRN,394,0.8,*,, 
, ,"Nicholas, A.R.",Ind,166,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'164,10.9,, , 
Strangford [542],60'539,53.7,"Shannon, J.",DUP,14'926,45.9,,-,8.8
, ,"Nesbitt, M.",UCUNF,9'050,27.8,, , 
, ,"Girvan, D. Ms.",APNI,2'828,8.7,, , 
, ,"Hanna, C. Ms.",SDLP,2'164,6.7,,-,1.8
, ,"Williams, T.",TUV,1'814,5.6,, , 
, ,"Coogan, M.",SF,1'161,3.6,*,-,0.1
, ,"Haig, B. Ms.",GRN,562,1.7,*,, 
, , , ,-----,---,, , 
2005: DUP,, , ,5'876,18.1,, , 
Stratford-on-Avon [543],69'517,72.7,"Zahawi, N.",Con,26'052,51.5,,+,0.3
, ,"Turner, M.M.",LD,14'706,29.1,,+,1.7
, ,"Johnston, R.",Lab,4'809,9.5,,-,6
, ,"Parsons, B.R.",UKIP,1'846,3.7,*,+,1
, ,"Jones, G.A.",BNP,1'097,2.2,*,, 
, ,"Basnett, N.W.",Ind,1'032,2,*,, 
, ,"Varga, K.T. Ms.",GRN,527,1,*,-,2.2
, ,"Bishop, F.J.",ED,473,0.9,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,11'346,22.4,, , 
Streatham [544],74'532,62.8,"Umunna, C.H.",Lab,20'037,42.8,,-,4.2
