UK General Election Results 2001,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status,Declaration
,,,,,,,,,,
Sheffield Central,,Richard Caborn,Labour,18477,61.45%,62018,12544,48.48%,Labour Hold,08/06/01 05:15
,,Ali Qadar,Liberal Democrat,5933,19.73%,,,,,
,,Noelle Brelsford,Conservative,3289,10.94%,,,,,
,,Bernard Little,Green,1008,3.35%,,,,,
,,Nick Riley,Socialist Alliance,754,2.51%,,,,,
,,David Hadfield,Socialist Labour,289,0.96%,,,,,
,,Charlotte Schofield,United Kingdom Independence,257,0.85%,,,,,
,,Michael Driver,Workers' Revolutionary,62,0.21%,,,,,
,,,,,,,,,,
Sheffield Hallam,,Richard Allan,Liberal Democrat,21203,55.44%,60288,9347,63.44%,Liberal Democrat Hold,08/06/01 03:25
,,John Harthman,Conservative,11856,31.00%,,,,,
,,Gillian Furniss,Labour,4758,12.44%,,,,,
,,Leslie Arnott,United Kingdom Independence,429,1.12%,,,,,
,,,,,,,,,,
Sheffield Heeley,,Meg Munn,Labour,19452,56.98%,62758,11704,54.40%,Labour Hold,08/06/01 01:13
,,David Willis,Liberal Democrat,7748,22.70%,,,,,
,,Carolyn Abbott,Conservative,4864,14.25%,,,,,
,,Rob Unwin,Green,774,2.27%,,,,,
,,Brian Fischer,Socialist Labour,667,1.95%,,,,,
,,David Dunn,United Kingdom Independence,634,1.86%,,,,,
,,,,,,,,,,
Sheffield Hillsborough,,Helen Jackson,Labour,24170,56.82%,75097,14569,56.64%,Labour Hold,08/06/01 00:59
,,John Commons,Liberal Democrat,9601,22.57%,,,,,
,,Graham King,Conservative,7801,18.34%,,,,,
,,Peter Webb,United Kingdom Independence,964,2.27%,,,,,
,,,,,,,,,,
Sherwood,,Paddy Tipping,Labour,24900,54.25%,75670,9373,60.66%,Labour Hold,08/06/01 01:23
,,Brandon Lewis,Conservative,15527,33.83%,,,,,
,,Peter Harris,Liberal Democrat,5473,11.92%,,,,,
,,,,,,,,,,
Shipley,,Christopher Leslie,Labour,20243,43.99%,69577,1428,66.14%,Labour Hold,08/06/01 01:19
,,David Senior,Conservative,18815,40.88%,,,,,
,,Helen Wright,Liberal Democrat,4996,10.86%,,,,,
,,Martin Love,Green,1386,3.01%,,,,,
,,Walter Whitacker,United Kingdom Independence,580,1.26%,,,,,
,,,,,,,,,,
Shrewsbury and Atcham,,Paul Marsden,Labour,22253,44.59%,74964,3579,66.58%,Labour Hold,08/06/01 00:36
,,Anthea McIntyre,Conservative,18674,37.42%,,,,,
,,Jonathan Rule,Liberal Democrat,6173,12.37%,,,,,
,,Henry Curteis,United Kingdom Independence,1620,3.25%,,,,,
,,Emma Bullard,Green,931,1.87%,,,,,
,,James Gollins,Independent,258,0.52%,,,,,
,,,,,,,,,,
Shropshire North,,Owen Paterson,Conservative,22631,48.65%,73716,6241,63.11%,Conservative Hold,08/06/01 01:30
,,Michael Ion,Labour,16390,35.23%,,,,,
,,Ben Jephcott,Liberal Democrat,5945,12.78%,,,,,
,,David Trevanion,United Kingdom Independence,1165,2.50%,,,,,
,,Russell Maxfield,Independent,389,0.84%,,,,,
,,,,,,,,,,
Sittingbourne and Sheppey,,Derek Wyatt,Labour,17340,45.80%,65825,3509,57.51%,Labour Hold,08/06/01 03:41
,,Adrian Lee,Conservative,13831,36.53%,,,,,
,,Elvie Lowe,Liberal Democrat,5353,14.14%,,,,,
,,Michael Young,Rock 'n' Roll Loony,673,1.78%,,,,,
,,Robert Oakley,United Kingdom Independence,661,1.75%,,,,,
,,,,,,,,,,
Skipton and Ripon,,David Curry,Conservative,25736,52.39%,75201,12930,65.33%,Conservative Hold,08/06/01 01:42
,,Bernard Bateman,Liberal Democrat,12806,26.07%,,,,,
,,Michael Dugher,Labour,8543,17.39%,,,,,
,,Nancy Holdsworth,United Kingdom Independence,2041,4.15%,,,,,
,,,,,,,,,,
Sleaford and North Hykeham,,Douglas Hogg,Conservative,24190,49.65%,74561,8622,65.34%,Conservative Hold,08/06/01 02:42
,,Elizabeth Donnelly,Labour,15568,31.95%,,,,,
,,Robert Arbon,Liberal Democrat,7894,16.20%,,,,,
,,Michael Ward-Barrow,United Kingdom Independence,1067,2.19%,,,,,
,,,,,,,,,,
Slough,,Fiona Mactaggart,Labour,22718,58.25%,72429,12508,53.84%,Labour Hold,08/06/01 04:15
,,Diana Coad,Conservative,10210,26.18%,,,,,
,,Keith Kerr,Liberal Democrat,4109,10.54%,,,,,
,,Michael Haines,Independent,859,2.20%,,,,,
,,John Lane,United Kingdom Independence,738,1.89%,,,,,
,,Choudry Nazir,Independent,364,0.93%,,,,,
,,,,,,,,,,
Solihull,,John Taylor,Conservative,21935,45.44%,77094,9407,62.61%,Conservative Hold,08/06/01 00:55
,,Jo Byron,Liberal Democrat,12528,25.95%,,,,,
,,Brendan O'Brien,Labour,12373,25.63%,,,,,
,,Andy Moore,United Kingdom Independence,1061,2.20%,,,,,
,,Stephanie Pyne,ProLife Alliance,374,0.77%,,,,,
,,,,,,,,,,
Somerton and Frome,,David Heath,Liberal Democrat,22983,43.62%,74991,668,70.25%,Liberal Democrat Hold,08/06/01 12:15
,,Jonathan Marland,Conservative,22315,42.36%,,,,,
,,Andrew Perkins,Labour,6113,11.60%,,,,,
,,Peter Bridgwood,United Kingdom Independence,919,1.74%,,,,,
,,Jean Pollock,Liberal,354,0.67%,,,,,
,,,,,,,,,,
South Holland and The Deepings,,John Hayes,Conservative,25611,55.43%,73880,11099,62.54%,Conservative Hold,08/06/01 04:03
,,Graham Walker,Labour,14512,31.41%,,,,,
,,Grace Hill,Liberal Democrat,4761,10.30%,,,,,
,,Malcolm Charlesworth,United Kingdom Independence,1318,2.85%,,,,,
,,,,,,,,,,
South Ribble,,David Borrow,Labour,21386,46.36%,73794,3792,62.51%,Labour Hold,08/06/01 03:24
,,Adrian Owens,Conservative,17594,38.14%,,,,,
,,Mark Alcock,Liberal Democrat,7150,15.50%,,,,,
,,,,,,,,,,
South Shields,,David Miliband,Labour,19230,63.16%,61802,14090,49.27%,Labour Hold,08/06/01 03:17
,,Joanna Gardner,Conservative,5140,16.88%,,,,,
,,Marshall Grainger,Liberal Democrat,5127,16.84%,,,,,
,,Alan Hardy,United Kingdom Independence,689,2.26%,,,,,
,,Roger Nettleship,Independent,262,0.86%,,,,,
,,,,,,,,,,
Southampton Itchen,,John Denham,Labour,22553,54.51%,76603,11223,54.01%,Labour Hold,08/06/01 02:06
,,Caroline Nokes,Conservative,11330,27.39%,,,,,
,,Mark Cooper,Liberal Democrat,6195,14.97%,,,,,
,,Kim Rose,United Kingdom Independence,829,2.00%,,,,,
,,Gavin Marsh,Socialist Alliance,241,0.58%,,,,,
,,Michael Holmes,Socialist Labour,225,0.54%,,,,,
,,,,,,,,,,
Southampton Test,,Alan Whitehead,Labour,21824,52.49%,73893,11207,56.26%,Labour Hold,08/06/01 03:02
,,Richard Gueterbock,Conservative,10617,25.54%,,,,,
,,John Shaw,Liberal Democrat,7522,18.09%,,,,,
,,Garry Rankin-Moore,United Kingdom Independence,792,1.90%,,,,,
,,Mark Abel,Socialist Alliance,442,1.06%,,,,,
,,Paramjit Bahia,Socialist Labour,378,0.91%,,,,,
,,,,,,,,,,
Southend West,,David Amess,Conservative,17313,46.32%,64116,7941,58.29%,Conservative Hold,08/06/01 05:03
,,Paul Fisher,Labour,9372,25.08%,,,,,
,,Richard de St Croix,Liberal Democrat,9319,24.93%,,,,,
,,Brian Lee,United Kingdom Independence,1371,3.67%,,,,,
,,,,,,,,,,
Southport,,John Pugh,Liberal Democrat,18011,43.77%,70785,3007,58.14%,Liberal Democrat Hold,08/06/01 00:43
,,Laurence Jones,Conservative,15004,36.46%,,,,,
,,Paul Brant,Labour,6816,16.56%,,,,,
,,David Green,Liberal,767,1.86%,,,,,
,,Gerry Kelley,United Kingdom Independence,555,1.35%,,,,,
,,,,,,,,,,
Southwark North and Bermondsey,,Simon Hughes,Liberal Democrat,20991,56.94%,73527,9632,50.13%,Liberal Democrat Hold,08/06/01 01:11
,,Kingsley Abrams,Labour,11359,30.81%,,,,,
,,Ewan Wallace,Conservative,2800,7.60%,,,,,
,,Ruth Jenkins,Green,752,2.04%,,,,,
,,Lianne Shore,National Front,612,1.66%,,,,,
,,Rob McWhirter,United Kingdom Independence,271,0.74%,,,,,
,,John Davies,Independent,77,0.21%,,,,,
,,,,,,,,,,
Sparkbrook and Small Heath,,Roger Godsiff,Labour,21087,57.54%,74358,16246,49.28%,Labour Hold,08/06/01 02:32
,,Qassim Afzal,Liberal Democrat,4841,13.21%,,,,,
,,Shafaq Hussain,People's Justice,4770,13.02%,,,,,
,,Iftkhar Hussain,Conservative,3948,10.77%,,,,,
,,Gul Mohammed,Independent,662,1.81%,,,,,
,,Wayne Vincent,United Kingdom Independence,634,1.73%,,,,,
,,Abdul Aziz,Muslim,401,1.09%,,,,,
,,Salman Mirza,Socialist Alliance,304,0.83%,,,,,
,,,,,,,,,,
Spelthorne,,David Wilshire,Conservative,18851,45.10%,68731,3262,60.81%,Conservative Hold,08/06/01 01:12
,,Andrew Shaw,Labour,15589,37.30%,,,,,
,,Martin Rimmer,Liberal Democrat,6156,14.73%,,,,,
,,Richard Squire,United Kingdom Independence,1198,2.87%,,,,,
,,,,,,,,,,
St. Albans,,Kerry Pollard,Labour,19889,45.45%,66040,4466,66.26%,Labour Hold,08/06/01 03:49
,,Charles Elphicke,Conservative,15423,35.24%,,,,,
,,Nick Rijke,Liberal Democrat,7847,17.93%,,,,,
,,Christopher Sherwin,United Kingdom Independence,602,1.38%,,,,,
,,,,,,,,,,
St. Helens North,,Dave Watts,Labour,22977,61.11%,70545,15901,53.30%,Labour Hold,08/06/01 00:24
,,Simon Pearce,Conservative,7076,18.82%,,,,,
,,John Beirne,Liberal Democrat,6609,17.58%,,,,,
,,Stephen Whatham,Socialist Labour,939,2.50%,,,,,
,,,,,,,,,,
St. Helens South,,Shaun Woodward,Labour,16799,49.70%,65122,8985,51.91%,Labour Hold,08/06/01 02:43
,,Brian Spencer,Liberal Democrat,7814,23.12%,,,,,
,,Lee Rotherham,Conservative,4675,13.83%,,,,,
,,Neil Thompson,Socialist Alliance,2325,6.88%,,,,,
,,Mike Perry,Socialist Labour,1504,4.45%,,,,,
,,Bryan Slater,United Kingdom Independence,336,0.99%,,,,,
,,Michael Murphy,Independent,271,0.80%,,,,,
,,David Braid,Independent,80,0.24%,,,,,
,,,,,,,,,,
St. Ives,,Andrew George,Liberal Democrat,25413,51.58%,74256,10053,66.35%,Liberal Democrat Hold,08/06/01 03:18
,,Joanna Richardson,Conservative,15360,31.18%,,,,,
,,William Morris,Labour,6567,13.33%,,,,,
,,Mick Faulkner,United Kingdom Independence,1926,3.91%,,,,,
,,,,,,,,,,
Stafford,,David Kidney,Labour,21285,47.98%,67934,5032,65.31%,Labour Hold,08/06/01 03:25
,,Philip Cochrane,Conservative,16253,36.63%,,,,,
,,Jeanne Pinkerton,Liberal Democrat,4205,9.48%,,,,,
,,A Bradford,United Kingdom Independence,2315,5.22%,,,,,
,,Michael Hames,Rock 'n' Roll Loony,308,0.69%,,,,,
,,,,,,,,,,
Staffordshire Moorlands,,Charlotte Atkins,Labour,20904,49.00%,66760,5838,63.90%,Labour Hold,08/06/01 02:43
,,Marcus Hayes,Conservative,15066,35.32%,,,,,
,,John Redfern,Liberal Democrat,5928,13.90%,,,,,
,,Paul Gilbert,United Kingdom Independence,760,1.78%,,,,,
,,,,,,,,,,
Staffordshire South,,Patrick Cormack,Conservative,21295,50.49%,69925,6881,60.32%,Conservative Hold,08/06/01 02:17
,,Paul Kalinauckas,Labour,14414,34.17%,,,,,
,,Jo Harrison,Liberal Democrat,4891,11.60%,,,,,
,,Mike Lynch,United Kingdom Independence,1580,3.75%,,,,,
,,,,,,,,,,
Stalybridge and Hyde,,James Purnell,Labour,17781,55.49%,66265,8859,48.36%,Labour Hold,08/06/01 00:42
,,Andrew Reid,Conservative,8922,27.84%,,,,,
,,Brendon Jones,Liberal Democrat,4327,13.50%,,,,,
,,Frank Bennett,United Kingdom Independence,1016,3.17%,,,,,
,,,,,,,,,,
Stevenage,,Barbara Follett,Labour,22025,51.88%,69203,8566,61.35%,Labour Hold,08/06/01 03:30
,,Graeme Quar,Conservative,13459,31.70%,,,,,
,,Harry Davies,Liberal Democrat,6027,14.20%,,,,,
,,Steve Glennon,Socialist Alliance,449,1.06%,,,,,
,,Antal Losonczi,Independent,320,0.75%,,,,,
,,Sarah Bell,ProLife Alliance,173,0.41%,,,,,
,,,,,,,,,,
Stirling,,Anne McGuire,Labour,15175,42.23%,53097,6274,67.67%,Labour Hold,08/06/01 00:38
,,Geoff Mawdsley,Conservative,8901,24.77%,,,,,
,,Fiona Macaulay,Scottish National,5877,16.36%,,,,,
,,Clive Freeman,Liberal Democrat,4208,11.71%,,,,,
,,Clarke Mullen,Scottish Socialist,1012,2.82%,,,,,
,,Mark Ruskell,Green,757,2.11%,,,,,
,,,,,,,,,,
Stockport,,Ann Coffey,Labour,20731,58.59%,66397,11569,53.29%,Labour Hold,08/06/01 00:30
,,John Allen,Conservative,9162,25.89%,,,,,
,,Mark Hunter,Liberal Democrat,5490,15.52%,,,,,
,,,,,,,,,,
Stockton North,,Frank Cook,Labour,22470,63.43%,65192,14647,54.34%,Labour Hold,08/06/01 02:00
,,Amanda Vigar,Conservative,7823,22.08%,,,,,
,,Mary Wallace,Liberal Democrat,4208,11.88%,,,,,
,,Bill Wennington,Green,926,2.61%,,,,,
,,,,,,,,,,
Stockton South,,Dari Taylor,Labour,23414,52.96%,71026,9086,62.24%,Labour Hold,08/06/01 01:52
,,Tim Devlin,Conservative,14328,32.41%,,,,,
,,Suzanne Fletcher,Liberal Democrat,6012,13.60%,,,,,
,,Lawrie Coombes,Socialist Alliance,455,1.03%,,,,,
,,,,,,,,,,
Stoke-on-Trent Central,,Mark Fisher,Labour,17170,60.67%,59750,11845,47.36%,Labour Hold,08/06/01 01:21
,,Jill Clark,Conservative,5325,18.82%,,,,,
,,Gavin Webb,Liberal Democrat,4148,14.66%,,,,,
,,Richard Wise,Independent,1657,5.86%,,,,,
,,,,,,,,,,
Stoke-on-Trent North,,Joan Walley,Labour,17460,57.98%,57998,11784,51.92%,Labour Hold,08/06/01 01:23
,,Benjamin Browning,Conservative,5676,18.85%,,,,,
,,Henry Jebb,Liberal Democrat,3580,11.89%,,,,,
,,Lee Wanger,Independent,3399,11.29%,,,,,
,,,,,,,,,,
Stoke-on-Trent South,,George Stevenson,Labour,19366,53.75%,70032,10489,51.45%,Labour Hold,08/06/01 01:25
,,Philip Bastiman,Conservative,8877,24.64%,,,,,
,,Christopher Coleman,Liberal Democrat,4724,13.11%,,,,,
,,Adrian Knapper,Independent,1703,4.73%,,,,,
,,Steven Batkin,British National,1358,3.77%,,,,,
,,,,,,,,,,
Stone,,William Cash,Conservative,22395,49.07%,68847,6036,66.29%,Conservative Hold,08/06/01 04:31
,,John Palfreyman,Labour,16359,35.84%,,,,,
,,Brendan McKeown,Liberal Democrat,6888,15.09%,,,,,
,,,,,,,,,,
Stourbridge,,Debra Shipley,Labour,18823,47.15%,64610,3812,61.79%,Labour Hold,08/06/01 01:35
,,Stephen Eyre,Conservative,15011,37.60%,,,,,
,,Chris Bramall,Liberal Democrat,4833,12.11%,,,,,
,,John Knotts,United Kingdom Independence,763,1.91%,,,,,
,,Mick Atherton,Socialist Labour,494,1.24%,,,,,
,,,,,,,,,,
Strangford,,Iris Robinson,Democratic Unionist,18532,42.84%,72192,1110,59.92%,Democratic Unionist Gain,08/06/01 18:50
,,David McNarry,Ulster Unionist,17422,40.28%,,,,,
,,Kieran McCarthy,Alliance,2902,6.71%,,,,,
,,Danny McCarthy,Social Democratic and Labour,2646,6.12%,,,,,
,,Liam Johnstone,Sinn Féin,930,2.15%,,,,,
,,Cedric Wilson,Northern Ireland Unionist,822,1.90%,,,,,
,,,,,,,,,,
Stratford-on-Avon,,John Maples,Conservative,27606,50.27%,85241,11802,64.42%,Conservative Hold,08/06/01 02:50
,,Susan Juned,Liberal Democrat,15804,28.78%,,,,,
,,Mushtaq Hussain,Labour,9164,16.69%,,,,,
,,Ronald Mole,United Kingdom Independence,1184,2.16%,,,,,
,,Mick Davies,Green,1156,2.11%,,,,,
,,,,,,,,,,
Strathkelvin and Bearsden,,John Lyons,Labour,19250,46.40%,62729,11717,66.14%,Labour Hold,08/06/01 01:53
,,Gordon Macdonald,Liberal Democrat,7533,18.16%,,,,,
,,Calum Smith,Scottish National,6675,16.09%,,,,,
,,Murray Roxburgh,Conservative,6635,15.99%,,,,,
,,Willie Telfer,Scottish Socialist,1393,3.36%,,,,,
,,,,,,,,,,
Streatham,,Keith Hill,Labour,21041,56.87%,76021,14270,48.67%,Labour Hold,08/06/01 03:29
,,Roger O'Brien,Liberal Democrat,6771,18.30%,,,,,
,,Stephen Hocking,Conservative,6639,17.94%,,,,,
,,Mohammed Sajid,Green,1641,4.44%,,,,,
,,Greg Tucker,Socialist Alliance,906,2.45%,,,,,
,,,,,,,,,,
Stretford and Urmston,,Beverley Hughes,Labour,23804,61.08%,70924,13239,54.95%,Labour Hold,08/06/01 01:17
,,Jonathan Mackie,Conservative,10565,27.11%,,,,,
,,John Bridges,Liberal Democrat,3891,9.98%,,,,,
,,Katie Price,Independent,713,1.83%,,,,,
,,,,,,,,,,
Stroud,,David Drew,Labour/Co-operative,25685,46.55%,78878,5039,69.95%,Labour/Co-operative Hold,08/06/01 02:45
,,Neil Carmichael,Conservative,20646,37.42%,,,,,
,,Janice Beasley,Liberal Democrat,6036,10.94%,,,,,
,,Kevin Cranston,Green,1913,3.47%,,,,,
,,Adrian Blake,United Kingdom Independence,895,1.62%,,,,,
,,,,,,,,,,
Suffolk Central and North Ipswich,,Michael Lord,Conservative,20924,44.42%,74200,3469,63.48%,Conservative Hold,08/06/01 04:43
,,Carole Jones,Labour,17455,37.06%,,,,,
,,Ann Elvin,Liberal Democrat,7593,16.12%,,,,,
,,Jonathan Wright,United Kingdom Independence,1132,2.40%,,,,,
,,,,,,,,,,
Suffolk Coastal,,John Gummer,Conservative,21847,43.34%,75963,4326,66.36%,Conservative Hold,08/06/01 01:48
,,Nigel Gardner,Labour,17521,34.76%,,,,,
,,Tony Schur,Liberal Democrat,9192,18.24%,,,,,
,,Michael Burn,United Kingdom Independence,1847,3.66%,,,,,
,,,,,,,,,,
Suffolk South,,Timothy Yeo,Conservative,18748,41.39%,68408,5081,66.21%,Conservative Hold,08/06/01 03:58
,,Marc Young,Labour,13667,30.17%,,,,,
,,Tessa Munt,Liberal Democrat,11296,24.94%,,,,,
,,Derek Allen,United Kingdom Independence,1582,3.49%,,,,,
,,,,,,,,,,
Suffolk West,,Richard Spring,Conservative,20201,47.59%,71220,4295,59.60%,Conservative Hold,08/06/01 02:33
,,Michael Jeffreys,Labour,15906,37.47%,,,,,
,,Robin Martlew,Liberal Democrat,5017,11.82%,,,,,
,,Will Burrows,United Kingdom Independence,1321,3.11%,,,,,
,,,,,,,,,,
Sunderland North,,Bill Etherington,Labour,18685,62.66%,60846,13354,49.01%,Labour Hold,07/06/01 23:24
,,Michael Harris,Conservative,5331,17.88%,,,,,
,,John Lennox,Liberal Democrat,3599,12.07%,,,,,
,,Neil Herron,Independent,1518,5.09%,,,,,
,,David Guynan,British National,687,2.30%,,,,,
,,,,,,,,,,
Sunderland South,,Chris Mullin,Labour,19921,63.88%,64577,13667,48.29%,Labour Hold,07/06/01 22:43
,,Jim Boyd,Conservative,6254,20.05%,,,,,
,,Mark Greenfield,Liberal Democrat,3675,11.78%,,,,,
,,Joseph Dobbie,British National,576,1.85%,,,,,
,,Joseph Moore,United Kingdom Independence,470,1.51%,,,,,
,,Rosalyn Warner,Monster Raving Loony,291,0.93%,,,,,
,,,,,,,,,,
Surrey East,,Peter Ainsworth,Conservative,24706,52.51%,75049,13203,62.69%,Conservative Hold,08/06/01 02:35
,,Jeremy Pursehouse,Liberal Democrat,11503,24.45%,,,,,
,,Jo Tanner,Labour,8994,19.12%,,,,,
,,Anthony Stone,United Kingdom Independence,1846,3.92%,,,,,
,,,,,,,,,,
Surrey Heath,,Nicholas Hawkins,Conservative,22401,49.67%,75858,10819,59.46%,Conservative Hold,08/06/01 03:53
,,Mark Lelliott,Liberal Democrat,11582,25.68%,,,,,
,,James Norman,Labour,9640,21.37%,,,,,
,,Nigel Hunt,United Kingdom Independence,1479,3.28%,,,,,
,,,,,,,,,,
Surrey South West,,Virginia Bottomley,Conservative,22462,45.29%,74127,861,66.90%,Conservative Hold,08/06/01 03:14
,,Simon Cordon,Liberal Democrat,21601,43.56%,,,,,
,,Martin Whelton,Labour,4321,8.71%,,,,,
,,Timothy Clark,United Kingdom Independence,1208,2.44%,,,,,
,,,,,,,,,,
Sussex Mid,,Nicholas Soames,Conservative,21150,46.16%,70632,6898,64.87%,Conservative Hold,08/06/01 03:00
,,Lesley Wilkins,Liberal Democrat,14252,31.10%,,,,,
,,Paul Mitchell,Labour,8693,18.97%,,,,,
,,Petrina Holdsworth,United Kingdom Independence,1126,2.46%,,,,,
,,Peter Berry,Monster Raving Loony,601,1.31%,,,,,
,,,,,,,,,,
Sutton and Cheam,,Paul Burstow,Liberal Democrat,19382,48.79%,63648,4304,62.41%,Liberal Democrat Hold,08/06/01 01:24
,,Olga Maitland,Conservative,15078,37.96%,,,,,
,,Lisa Homan,Labour,5263,13.25%,,,,,
,,,,,,,,,,
Sutton Coldfield,,Andrew Mitchell,Conservative,21909,50.42%,71856,10104,60.47%,Conservative Hold,08/06/01 02:15
,,Robert Pocock,Labour,11805,27.17%,,,,,
,,Martin Turner,Liberal Democrat,8268,19.03%,,,,,
,,Mike Nattrass,United Kingdom Independence,1186,2.73%,,,,,
,,Ian Robinson,Independent,284,0.65%,,,,,
,,,,,,,,,,
Swansea East,,Donald Anderson,Labour,19612,65.22%,57273,16148,52.51%,Labour Hold,08/06/01 02:04
,,John Ball,Plaid Cymru,3464,11.52%,,,,,
,,Robert Speht,Liberal Democrat,3064,10.19%,,,,,
,,Paul Morris,Conservative,3026,10.06%,,,,,
,,Tony Young,Green,463,1.54%,,,,,
,,Tim Jenkins,United Kingdom Independence,443,1.47%,,,,,
,,,,,,,,,,
Swansea West,,Alan Williams,Labour,15644,48.74%,57074,9550,56.24%,Labour Hold,08/06/01 02:23
,,Margaret Harper,Conservative,6094,18.98%,,,,,
,,Mike Day,Liberal Democrat,5313,16.55%,,,,,
,,Ian Titherington,Plaid Cymru,3404,10.60%,,,,,
,,Richard Lewis,United Kingdom Independence,653,2.03%,,,,,
,,Martyn Shrewsbury,Green,626,1.95%,,,,,
,,Alec Thraves,Socialist Alliance,366,1.14%,,,,,
,,,,,,,,,,
Swindon North,,Michael Wills,Labour,22371,52.85%,69335,8105,61.05%,Labour Hold,08/06/01 02:40
,,Nick Martin,Conservative,14266,33.70%,,,,,
,,David Nation,Liberal Democrat,4891,11.55%,,,,,
,,Brian Lloyd,United Kingdom Independence,800,1.89%,,,,,
,,,,,,,,,,
Swindon South,,Julia Drown,Labour,22260,51.31%,71080,7341,61.04%,Labour Hold,08/06/01 01:54
,,Simon Coombs,Conservative,14919,34.39%,,,,,
,,Geoff Brewer,Liberal Democrat,5165,11.91%,,,,,
,,Vicki Sharp,United Kingdom Independence,713,1.64%,,,,,
,,Roly Gillard,Rock 'n' Roll Loony,327,0.75%,,,,,
,,,,,,,,,,
Tamworth,,Brian Jenkins,Labour,19722,49.00%,69596,4598,57.83%,Labour Hold,08/06/01 01:56
,,Luise Gunter,Conservative,15124,37.58%,,,,,
,,Jennifer Pinkett,Liberal Democrat,4721,11.73%,,,,,
,,Paul Sootheran,United Kingdom Independence,683,1.70%,,,,,
,,,,,,,,,,
Tatton,,George Osborne,Conservative,19860,48.11%,64954,8611,63.55%,Conservative Gain,08/06/01 01:53
,,Steve Conquest,Labour,11249,27.25%,,,,,
,,Mike Ash,Liberal Democrat,7685,18.62%,,,,,
,,Mark Sheppard,United Kingdom Independence,769,1.86%,,,,,
,,Peter Sharratt,Independent,734,1.78%,,,,,
,,Viviane Allinson,Tatton Group Independent,505,1.22%,,,,,
,,John Batchelor,Independent,322,0.78%,,,,,
,,Jonathan Boy Hunt,Independent,154,0.37%,,,,,
,,,,,,,,,,
Taunton,,Adrian Flook,Conservative,23033,41.71%,81651,235,67.64%,Conservative Gain,08/06/01 05:00
,,Jackie Ballard,Liberal Democrat,22798,41.28%,,,,,
,,Andrew Govier,Labour,8254,14.95%,,,,,
,,Michael Canton,United Kingdom Independence,1140,2.06%,,,,,
,,,,,,,,,,
Tayside North,,Peter Wishart,Scottish National,15441,40.09%,61645,3283,62.48%,Scottish National Hold,08/06/01 02:33
,,Murdo Fraser,Conservative,12158,31.57%,,,,,
,,Thomas Docherty,Labour,5715,14.84%,,,,,
,,Julia Robertson,Liberal Democrat,4363,11.33%,,,,,
,,Rosie Adams,Scottish Socialist,620,1.61%,,,,,
,,Tina MacDonald,Independent,220,0.57%,,,,,
,,,,,,,,,,
Teignbridge,,Richard Younger-Ross,Liberal Democrat,26343,44.42%,85533,3011,69.34%,Liberal Democrat Gain,08/06/01 03:03
,,Patrick Nicholls,Conservative,23332,39.34%,,,,,
,,Christopher Bain,Labour,7366,12.42%,,,,,
,,Paul Exmouth,United Kingdom Independence,2269,3.83%,,,,,
,,,,,,,,,,
Telford,,David Wright,Labour,16854,54.59%,59486,8383,51.90%,Labour Hold,08/06/01 01:55
,,Andrew Henderson,Conservative,8471,27.44%,,,,,
,,Sally Wiggin,Liberal Democrat,3983,12.90%,,,,,
,,Nicola Brookes,United Kingdom Independence,1098,3.56%,,,,,
,,Mike Jeffries,Socialist Alliance,469,1.52%,,,,,
,,,,,,,,,,
Tewkesbury,,Laurence Robertson,Conservative,20830,46.09%,70276,8663,64.31%,Conservative Hold,08/06/01 04:16
,,Keir Dhillon,Labour,12167,26.92%,,,,,
,,Stephen Martin,Liberal Democrat,11863,26.25%,,,,,
,,Charles Vernall,Independent,335,0.74%,,,,,
,,,,,,,,,,
Thanet North,,Roger Gale,Conservative,21050,50.28%,70581,6650,59.32%,Conservative Hold,08/06/01 03:48
,,James Stewart Laing,Labour,14400,34.39%,,,,,
,,Seth Proctor,Liberal Democrat,4603,10.99%,,,,,
,,John Moore,United Kingdom Independence,980,2.34%,,,,,
,,David Shortt,Independent,440,1.05%,,,,,
,,Thomas Holmes,National Front,395,0.94%,,,,,
,,,,,,,,,,
Thanet South,,Stephen Ladyman,Labour,18002,45.65%,61462,1792,64.16%,Labour Hold,08/06/01 03:28
,,Mark Macgregor,Conservative,16210,41.11%,,,,,
,,Guy Voizey,Liberal Democrat,3706,9.40%,,,,,
,,William Baldwin,Independent,770,1.95%,,,,,
,,Terry Eccott,United Kingdom Independence,501,1.27%,,,,,
,,Bernard Franklin,National Front,242,0.61%,,,,,
,,,,,,,,,,
Wrekin,,Peter Bradley,Labour,19532,47.08%,65837,3587,63.02%,Labour Hold,08/06/01 02:49
,,Jacob Rees-Mogg,Conservative,15945,38.43%,,,,,
,,Ian Jenkins,Liberal Democrat,4738,11.42%,,,,,
,,Denis Brookes,United Kingdom Independence,1275,3.07%,,,,,
,,,,,,,,,,
Thurrock,,Andrew Mackinlay,Labour,21121,56.53%,76524,9997,48.82%,Labour Hold,08/06/01 02:32
,,Mike Penning,Conservative,11124,29.77%,,,,,
,,John Lathan,Liberal Democrat,3846,10.29%,,,,,
,,Christopher Sheppard,United Kingdom Independence,1271,3.40%,,,,,
,,,,,,,,,,
Tiverton,,Angela Browning,Conservative,26258,47.07%,80646,6284,69.17%,Conservative Hold,08/06/01 04:19
,,Jim Barnard,Liberal Democrat,19974,35.81%,,,,,
