UK General Election Results 2001,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status,Declaration
,,Michael Shore,National Front,681,2.23%,,,,,
,,Steve Goddard,Socialist Alliance,669,2.19%,,,,,
,,Mark Nattrass,United Kingdom Independence,521,1.70%,,,,,
,,Judith Sambrook-Marshall,Socialist Labour,343,1.12%,,,,,
,,,,,,,,,,
Birmingham Hall Green,,Stephen McCabe,Labour,18049,54.56%,57563,6648,57.47%,Labour Hold,08/06/01 00:50
,,Chris White,Conservative,11401,34.46%,,,,,
,,Punjab Singh,Liberal Democrat,2926,8.84%,,,,,
,,Peter Johnson,United Kingdom Independence,708,2.14%,,,,,
,,,,,,,,,,
Birmingham Hodge Hill,,Terry Davis,Labour,16901,63.86%,55254,11618,47.90%,Labour Hold,08/06/01 03:05
,,Debbie Lewis,Conservative,5283,19.96%,,,,,
,,Alistair Dow,Liberal Democrat,2147,8.11%,,,,,
,,Lee Windridge,British National,889,3.36%,,,,,
,,Parwez Hussain,People's Justice,561,2.12%,,,,,
,,Dennis Cridge,Socialist Labour,284,1.07%,,,,,
,,Harvey Vivian,United Kingdom Independence,275,1.04%,,,,,
,,Ayub Khan,Muslim,125,0.47%,,,,,
,,,,,,,,,,
Birmingham Ladywood,,Clare Short,Labour,21694,68.89%,71113,18143,44.29%,Labour Hold,08/06/01 00:05
,,Benjamin Prentice,Conservative,3551,11.28%,,,,,
,,Mahmood Chaudhry,Liberal Democrat,2586,8.21%,,,,,
,,Allah Ditta,People's Justice,2112,6.71%,,,,,
,,Surinder Virdee,Socialist Labour,443,1.41%,,,,,
,,Mahmood Hussain,Muslim,432,1.37%,,,,,
,,James Caffery,ProLife Alliance,392,1.24%,,,,,
,,Anneliese Nattrass,United Kingdom Independence,283,0.90%,,,,,
,,,,,,,,,,
Birmingham Northfield,,Richard Burden,Labour,16528,55.96%,55922,7798,52.81%,Labour Hold,08/06/01 00:40
,,Nils Purser,Conservative,8730,29.56%,,,,,
,,Trevor Sword,Liberal Democrat,3322,11.25%,,,,,
,,Stephen Rogers,United Kingdom Independence,550,1.86%,,,,,
,,Clive Walder,Socialist Alliance,193,0.65%,,,,,
,,Zane Carpenter,Socialist Labour,151,0.51%,,,,,
,,Andrew Chaffer,Communist of Britain,60,0.20%,,,,,
,,,,,,,,,,
Birmingham Perry Barr,,Khalid Mahmood,Labour,17415,46.54%,71121,8753,52.61%,Labour Hold,08/06/01 01:34
,,David Binns,Conservative,8662,23.15%,,,,,
,,Jon Hunt,Liberal Democrat,8566,22.89%,,,,,
,,Avtar Singh Jouhl,Socialist Labour,1544,4.13%,,,,,
,,Caroline Johnson,Socialist Alliance,465,1.24%,,,,,
,,Natalya Nattrass,United Kingdom Independence,352,0.94%,,,,,
,,Michael Roche,Marxist,221,0.59%,,,,,
,,Robert Davidson,Muslim,192,0.51%,,,,,
,,,,,,,,,,
Birmingham Selly Oak,,Lynne Jones,Labour,21015,52.41%,71237,10339,56.29%,Labour Hold,08/06/01 02:40
,,Ken Hardeman,Conservative,10676,26.62%,,,,,
,,David Osborne,Liberal Democrat,6532,16.29%,,,,,
,,Barney Smith,Green,1309,3.26%,,,,,
,,Beryl Williams,United Kingdom Independence,568,1.42%,,,,,
,,,,,,,,,,
Birmingham Yardley,,Estelle Morris,Labour,14085,46.93%,52444,2578,57.23%,Labour Hold,08/06/01 01:00
,,John Hemming,Liberal Democrat,11507,38.34%,,,,,
,,Barrie Roberts,Conservative,3941,13.13%,,,,,
,,Alan Ware,United Kingdom Independence,329,1.10%,,,,,
,,Colin Wren,Socialist Labour,151,0.50%,,,,,
,,,,,,,,,,
Bishop Auckland,,Derek Foster,Labour,22680,58.82%,67377,13926,57.23%,Labour Hold,08/06/01 01:39
,,Fiona McNish,Conservative,8754,22.70%,,,,,
,,Chris Foote-Wood,Liberal Democrat,6073,15.75%,,,,,
,,Carl Bennett,Green,1052,2.73%,,,,,
,,,,,,,,,,
Blaby,,Andrew Robathan,Conservative,22104,46.40%,73907,6209,64.46%,Conservative Hold,08/06/01 06:35
,,David Morgan,Labour,15895,33.36%,,,,,
,,Geoff Welsh,Liberal Democrat,8286,17.39%,,,,,
,,Edward Scott,British National,1357,2.85%,,,,,
,,,,,,,,,,
Blackburn,,Jack Straw,Labour,21808,53.87%,72621,9249,55.75%,Labour Hold,08/06/01 02:13
,,John Cotton,Conservative,12559,31.02%,,,,,
,,Imtiaz Patel,Liberal Democrat,3264,8.06%,,,,,
,,Dorothy Baxter,United Kingdom Independence,1185,2.93%,,,,,
,,Paul Morris,Independent,577,1.43%,,,,,
,,Terence Cullen,Socialist Labour,559,1.38%,,,,,
,,Frederick Nichol,Independent Socialist,532,1.31%,,,,,
,,,,,,,,,,
Blackpool North and Fleetwood,,Joan Humble,Labour,21610,50.75%,74456,5721,57.19%,Labour Hold,08/06/01 02:44
,,Alan Vincent,Conservative,15889,37.31%,,,,,
,,Steven Bate,Liberal Democrat,4132,9.70%,,,,,
,,Colin Porter,United Kingdom Independence,950,2.23%,,,,,
,,,,,,,,,,
Blackpool South,,Gordon Marsden,Labour,21060,54.29%,74311,8262,52.20%,Labour Hold,08/06/01 02:24
,,David Morris,Conservative,12798,32.99%,,,,,
,,Doreen Holt,Liberal Democrat,4115,10.61%,,,,,
,,Val Cowell,United Kingdom Independence,819,2.11%,,,,,
,,,,,,,,,,
Blaenau Gwent,,Llewellyn Smith,Labour,22855,72.04%,53353,19313,59.46%,Labour Hold,08/06/01 01:31
,,Adam Rykala,Plaid Cymru,3542,11.16%,,,,,
,,Edward Townsend,Liberal Democrat,2945,9.28%,,,,,
,,Huw Williams,Conservative,2383,7.51%,,,,,
,,,,,,,,,,
Blaydon,,John McWilliam,Labour,20340,54.85%,64574,7809,57.43%,Labour Hold,08/06/01 01:07
,,Peter Maughan,Liberal Democrat,12531,33.79%,,,,,
,,Mark Watson,Conservative,4215,11.37%,,,,,
,,,,,,,,,,
Blyth Valley,,Ronnie Campbell,Labour,20627,59.70%,63274,12188,54.60%,Labour Hold,08/06/01 01:34
,,Jeff Reid,Liberal Democrat,8439,24.43%,,,,,
,,Wayne Daley,Conservative,5484,15.87%,,,,,
,,,,,,,,,,
Bognor Regis and Littlehampton,,Nick Gibb,Conservative,17602,45.17%,66903,5643,58.25%,Conservative Hold,08/06/01 03:19
,,George O'Neill,Labour,11959,30.69%,,,,,
,,Pamela Peskett,Liberal Democrat,6846,17.57%,,,,,
,,George Stride,United Kingdom Independence,1779,4.57%,,,,,
,,Lilias Rider Haggar Cheyne,Green,782,2.01%,,,,,
,,,,,,,,,,
Bolsover,,Dennis Skinner,Labour,26249,68.59%,67537,18777,56.67%,Labour Hold,08/06/01 05:30
,,Simon Massey,Conservative,7472,19.52%,,,,,
,,Marie Bradley,Liberal Democrat,4550,11.89%,,,,,
,,,,,,,,,,
